Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,297.000,0.425,0.213,0.296,0.316,0.363,0.591,0.971,2.665,6.173,2.354
5,304.800,0.286,0.196,0.271,0.289,0.301,0.314,0.323,0.379,2.001,3.493
10,302.400,0.297,0.201,0.292,0.298,0.306,0.312,0.316,0.336,2.176,3.366
15,289.800,0.301,0.199,0.288,0.297,0.307,0.312,0.318,0.394,3.065,3.319
20,289.000,0.317,0.209,0.293,0.302,0.308,0.314,0.320,0.715,7.153,3.155
25,303.400,0.299,0.200,0.292,0.301,0.308,0.312,0.316,0.336,1.734,3.339
30,314.200,0.295,0.200,0.288,0.297,0.306,0.312,0.317,0.344,0.881,3.388
35,293.800,0.300,0.201,0.292,0.302,0.308,0.313,0.318,0.410,1.274,3.335
40,293.600,0.333,0.195,0.291,0.302,0.309,0.317,0.348,1.042,11.852,3.003
45,285.800,0.303,0.212,0.295,0.301,0.308,0.313,0.317,0.341,3.030,3.300
50,312.800,0.359,0.200,0.290,0.300,0.309,0.320,0.398,2.501,8.302,2.783
55,300.600,0.302,0.205,0.292,0.301,0.308,0.314,0.320,0.534,1.766,3.309
