Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,100.000,1.001,0.242,0.608,0.865,1.030,1.163,1.271,6.429,27.374,0.999
5,100.200,0.920,0.308,0.840,0.920,1.014,1.131,1.239,1.613,3.610,1.087
10,99.800,0.902,0.251,0.842,0.910,0.980,1.066,1.154,1.751,5.949,1.109
15,100.200,0.970,0.584,0.895,0.953,1.021,1.109,1.154,1.315,6.220,1.031
20,99.800,1.238,0.421,0.986,1.159,1.325,1.544,1.757,4.966,8.482,0.808
25,100.000,0.950,0.435,0.872,0.943,1.026,1.140,1.227,1.597,2.218,1.053
30,100.000,0.918,0.486,0.870,0.922,0.978,1.046,1.110,1.269,1.694,1.089
35,100.200,0.715,0.263,0.457,0.729,0.909,0.986,1.037,1.961,3.793,1.398
40,99.600,10.504,0.300,0.684,1.651,10.970,26.989,51.097,146.954,176.277,0.095
45,100.400,4.830,0.384,0.789,1.008,2.140,13.250,29.234,53.496,83.267,0.207
50,99.800,1.870,0.268,0.440,0.698,1.023,2.139,7.807,30.101,62.476,0.535
55,100.000,0.731,0.255,0.409,0.476,0.689,1.150,1.900,6.583,9.484,1.368
