Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,15.600,1.293,0.409,0.680,0.858,1.368,1.700,1.752,22.096,22.096,0.773
5,16.200,0.935,0.377,0.521,0.804,1.196,1.424,1.660,5.483,5.483,1.070
10,15.600,0.776,0.354,0.489,0.701,0.961,1.326,1.432,1.789,1.789,1.288
15,18.000,1.655,0.938,1.096,1.313,1.730,2.110,2.924,16.629,16.629,0.604
20,16.800,1.235,0.415,1.011,1.143,1.572,1.859,1.891,2.155,2.155,0.810
25,14.600,1.460,0.410,1.026,1.141,1.316,1.650,1.877,16.625,16.625,0.685
30,18.000,1.327,0.392,0.966,1.097,1.573,1.767,1.838,12.040,12.040,0.754
35,18.000,3.621,0.261,0.462,0.884,1.096,1.474,31.049,70.956,70.956,0.276
40,15.000,2.139,0.301,0.813,1.036,1.102,1.149,5.862,36.927,36.927,0.467
45,14.400,1.754,0.371,0.653,0.878,0.959,1.046,1.345,35.303,35.303,0.570
50,16.400,4.597,0.285,0.425,0.947,1.075,12.019,25.001,91.984,91.984,0.218
55,15.200,7.214,0.310,0.486,0.903,1.027,29.897,55.774,85.024,85.024,0.139
