Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,16.600,0.722,0.267,0.475,0.818,0.906,0.990,1.013,1.099,1.099,1.386
5,16.200,0.801,0.337,0.599,0.873,0.924,1.061,1.132,1.167,1.167,1.248
10,15.200,0.859,0.271,0.724,0.909,1.012,1.115,1.277,2.960,2.960,1.164
15,16.200,0.971,0.416,0.867,0.933,1.011,1.125,1.264,4.067,4.067,1.030
20,16.200,0.921,0.322,0.824,0.918,1.021,1.128,1.205,1.829,1.829,1.086
25,14.000,0.891,0.369,0.804,0.912,1.004,1.106,1.159,1.374,1.374,1.123
30,13.000,0.858,0.483,0.801,0.883,0.943,1.008,1.030,1.270,1.270,1.165
35,16.600,0.764,0.305,0.392,0.780,0.905,1.006,1.124,6.327,6.327,1.309
40,15.800,0.617,0.252,0.338,0.450,0.760,1.121,1.404,2.856,2.856,1.620
45,15.200,0.607,0.247,0.364,0.505,0.760,0.962,1.033,4.392,4.392,1.647
50,15.000,0.634,0.268,0.365,0.518,0.826,1.012,1.113,3.142,3.142,1.578
55,10.800,0.748,0.259,0.383,0.517,0.830,0.945,0.979,5.652,5.652,1.337
