Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,100.000,0.733,0.189,0.403,0.598,0.878,1.123,1.288,4.141,6.578,1.365
5,100.000,0.790,0.200,0.407,0.704,0.940,1.143,1.328,4.349,12.293,1.265
10,100.000,0.772,0.213,0.455,0.794,0.907,1.055,1.167,3.397,11.570,1.295
15,100.000,0.823,0.213,0.442,0.770,0.973,1.171,1.474,3.085,11.371,1.215
20,100.000,0.876,0.213,0.393,0.503,0.818,1.133,1.346,7.833,32.928,1.141
25,100.000,0.717,0.198,0.385,0.709,0.837,0.936,1.030,3.411,22.324,1.395
30,100.000,0.745,0.191,0.406,0.669,0.865,1.124,1.239,2.946,21.070,1.343
35,100.000,1.398,0.210,0.446,0.719,0.822,0.970,1.352,38.136,43.401,0.715
40,100.000,0.836,0.477,0.785,0.820,0.858,0.903,0.932,1.267,3.969,1.197
45,100.000,0.876,0.258,0.752,0.813,0.857,0.914,1.059,1.986,34.709,1.141
50,100.000,1.015,0.253,0.775,0.836,0.899,1.086,1.252,6.021,31.633,0.985
55,100.000,1.430,0.178,0.507,0.772,0.848,0.947,1.942,34.556,45.881,0.699
