Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,16.000,0.725,0.380,0.592,0.785,0.855,0.889,0.926,1.114,1.114,1.379
5,15.200,0.805,0.276,0.509,0.751,0.839,0.941,1.317,7.038,7.038,1.243
10,15.000,0.760,0.255,0.528,0.787,0.853,0.985,1.049,2.749,2.749,1.316
15,15.800,0.830,0.435,0.743,0.818,0.877,0.950,1.026,3.921,3.921,1.204
20,13.800,0.848,0.394,0.785,0.841,0.924,1.037,1.085,1.635,1.635,1.179
25,14.000,0.754,0.430,0.656,0.805,0.858,0.904,0.917,1.018,1.018,1.327
30,13.000,0.784,0.402,0.713,0.805,0.867,0.920,0.958,1.428,1.428,1.275
35,17.600,0.826,0.411,0.763,0.809,0.847,0.896,0.944,3.669,3.669,1.211
40,14.600,0.641,0.277,0.377,0.420,0.801,0.895,1.823,3.093,3.093,1.559
45,16.800,0.787,0.340,0.444,0.642,0.830,0.867,0.914,13.477,13.477,1.270
50,14.200,0.593,0.214,0.365,0.505,0.766,0.920,1.051,2.023,2.023,1.686
55,14.400,0.580,0.242,0.378,0.527,0.772,0.830,0.872,2.218,2.218,1.725
