Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,15.400,0.959,0.304,0.643,0.860,0.974,1.172,1.474,7.033,7.033,1.042
5,15.000,0.901,0.350,0.847,0.905,0.981,1.039,1.068,1.485,1.485,1.110
10,14.200,0.883,0.334,0.846,0.913,0.962,1.048,1.106,1.488,1.488,1.133
15,15.000,0.948,0.655,0.891,0.934,0.987,1.116,1.160,1.428,1.428,1.055
20,13.800,1.157,0.544,0.935,1.062,1.242,1.457,1.558,7.194,7.194,0.864
25,13.800,0.947,0.520,0.875,0.943,1.029,1.158,1.223,1.412,1.412,1.056
30,15.800,0.926,0.563,0.872,0.925,0.970,1.079,1.245,1.637,1.637,1.080
35,16.400,0.697,0.265,0.440,0.727,0.913,1.003,1.069,2.058,2.058,1.435
40,14.800,11.645,0.352,0.666,1.119,12.323,29.508,52.640,158.562,158.562,0.086
45,17.200,4.004,0.409,0.791,1.030,2.155,7.500,20.009,83.267,83.267,0.250
50,15.200,1.498,0.317,0.412,0.786,1.003,1.277,7.075,33.966,33.966,0.668
55,17.000,0.895,0.267,0.412,0.474,0.679,1.655,2.446,9.484,9.484,1.117
