Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,14.800,0.583,0.281,0.387,0.469,0.578,0.782,1.021,4.519,4.519,1.716
5,13.400,1.075,0.292,0.389,0.460,0.870,1.045,3.747,13.088,13.088,0.930
10,16.200,0.721,0.269,0.375,0.423,0.602,0.978,1.235,7.006,7.006,1.388
15,15.000,0.742,0.309,0.448,0.607,0.842,1.095,1.576,4.328,4.328,1.348
20,15.000,0.826,0.251,0.463,0.752,0.911,1.061,1.185,6.696,6.696,1.211
25,12.800,0.598,0.280,0.394,0.475,0.647,0.808,0.942,5.270,5.270,1.673
30,14.200,0.636,0.297,0.362,0.424,0.508,0.664,1.739,7.204,7.204,1.573
35,16.800,0.805,0.292,0.658,0.851,0.956,1.096,1.159,1.692,1.692,1.242
40,15.600,0.732,0.244,0.391,0.534,0.733,1.100,1.732,5.863,5.863,1.366
45,17.000,0.592,0.266,0.348,0.440,0.818,1.056,1.165,2.016,2.016,1.689
50,16.600,0.677,0.257,0.355,0.600,0.857,0.933,1.024,5.854,5.854,1.477
55,12.600,0.814,0.256,0.360,0.449,0.807,0.940,1.170,8.883,8.883,1.228
