Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,13.400,0.705,0.292,0.445,0.722,0.934,1.076,1.142,1.223,1.223,1.419
5,13.800,0.621,0.257,0.405,0.531,0.767,0.907,1.121,2.347,2.347,1.610
10,15.600,0.730,0.246,0.462,0.833,0.939,1.040,1.081,1.903,1.903,1.370
15,13.200,0.856,0.324,0.812,0.874,0.930,1.022,1.080,2.422,2.422,1.168
20,17.200,0.897,0.511,0.837,0.880,0.936,1.081,1.119,1.426,1.426,1.114
25,16.600,0.861,0.462,0.804,0.861,0.931,0.983,1.042,2.010,2.010,1.162
30,16.800,0.836,0.469,0.791,0.865,0.915,0.966,1.008,1.047,1.047,1.197
35,16.400,0.822,0.312,0.806,0.879,0.911,0.952,0.971,1.024,1.024,1.217
40,13.400,0.823,0.253,0.801,0.865,0.924,0.990,1.055,1.491,1.491,1.215
45,16.000,0.892,0.569,0.828,0.876,0.932,1.020,1.097,1.758,1.758,1.121
50,15.400,0.825,0.267,0.690,0.837,0.876,0.962,1.000,5.972,5.972,1.212
55,15.800,0.743,0.263,0.672,0.803,0.862,0.920,0.963,1.014,1.014,1.347
