Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,100,100.000,652,924,1328,2922,1719,2446,11706,51218,51218
1,101,101.000,550,717,913,1051,1255,1572,1797,3081,3665
2,99,99.000,449,708,875,968,1158,1474,1734,2278,2278
3,100,100.000,478,600,810,929,1091,1464,1683,4576,4576
4,100,100.000,389,680,875,1075,1372,1659,1913,5511,5511
5,100,100.000,473,537,684,959,1204,1546,1972,5483,5483
6,100,100.000,377,613,821,889,1093,1419,1527,2059,2059
7,101,101.000,344,613,816,912,1223,1358,1511,1904,2023
8,99,99.000,410,689,1018,1085,1289,1434,1576,5832,5832
9,100,100.000,352,498,853,899,1209,1370,1633,2694,2694
10,100,100.000,321,479,595,784,919,1225,1722,4514,4514
11,100,100.000,360,654,895,938,1151,1251,1398,3561,3561
12,101,101.000,402,467,609,770,939,1217,1464,2634,3583
13,99,99.000,298,435,509,723,927,1228,1380,4077,4077
14,101,101.000,398,718,1214,3911,1450,3696,29036,49676,62621
15,100,100.000,945,1205,1531,1954,2094,3440,4889,8591,8591
16,99,99.000,953,1155,1343,1547,1825,2186,2806,4581,4581
17,100,100.000,946,1089,1229,1345,1559,1888,1939,2016,2016
18,100,100.000,864,1111,1367,1618,1760,1979,2107,16629,16629
19,101,101.000,938,1051,1236,1462,1724,1903,2012,2758,9605
20,100,100.000,890,1082,1240,1405,1719,1944,1969,4476,4476
21,100,100.000,819,1096,1270,1399,1757,1913,1990,2150,2150
22,99,99.000,889,1026,1133,1275,1492,1825,1896,2155,2155
23,100,100.000,389,986,1166,1220,1496,1774,1811,2478,2478
24,101,101.000,329,501,680,849,1029,1497,1697,2116,2277
25,100,100.000,382,1037,1186,4991,1294,5176,44628,86399,86399
26,100,100.000,925,1099,1149,1226,1198,1262,1305,10253,10253
27,100,100.000,831,984,1129,1424,1525,1782,2140,19088,19088
28,99,99.000,864,986,1137,1315,1465,1693,1829,7128,7128
29,101,101.000,733,971,1138,1266,1587,1739,1814,1862,2053
30,99,99.000,834,988,1128,1301,1593,1803,1847,3540,3540
31,101,101.000,831,963,1149,1267,1629,1742,1841,1879,1904
32,99,99.000,861,997,1184,1302,1635,1773,1827,1973,1973
33,101,101.000,877,973,1097,1258,1625,1733,1820,1895,1924
34,100,100.000,344,545,885,988,1034,1295,1461,12040,12040
35,100,100.000,279,374,458,823,907,1251,1287,18188,18188
36,100,100.000,250,486,881,3026,1189,4825,20089,50622,50622
37,100,100.000,299,448,724,1153,1002,1229,2831,15698,15698
38,99,99.000,259,464,925,4024,1043,17739,31778,51819,51819
39,100,100.000,370,820,1020,4786,1118,1254,40077,70956,70956
40,100,100.000,274,621,1010,2766,1094,1232,20529,58937,58937
41,100,100.000,263,586,1048,3985,1110,1181,27744,76075,76075
42,100,100.000,766,1043,1063,1080,1117,1158,1178,1980,1980
43,101,101.000,301,1014,1061,3827,1096,1194,16365,71971,73170
44,100,100.000,294,586,1029,4175,1090,1209,40147,73452,73452
45,100,100.000,262,388,449,2221,751,1052,11717,51273,51273
46,99,99.000,360,626,883,849,954,1047,1169,3477,3477
47,100,100.000,357,656,879,835,949,1050,1161,2429,2429
48,101,101.000,570,871,943,960,990,1087,1177,1751,3357
49,100,100.000,279,644,943,5237,1085,15932,44466,70644,70644
50,100,100.000,331,714,997,3146,1094,1243,25001,44438,44438
51,100,100.000,274,472,864,4670,1077,6506,49087,72910,72910
52,99,99.000,285,751,990,4970,1065,4167,50732,68030,68030
53,100,100.000,260,402,727,4661,1083,11000,45738,56327,56327
54,100,100.000,307,397,778,4329,1045,1569,31167,91984,91984
55,101,101.000,267,407,648,8400,1100,37553,59668,77111,83544
56,99,99.000,327,626,940,4500,1112,20656,29897,50356,50356
57,101,101.000,310,387,814,4955,997,2963,41022,66058,85024
58,99,99.000,251,539,911,8108,1052,38703,63577,75919,75919
59,101,101.000,274,404,858,3675,974,1163,15182,74571,108075
