Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,101,101.000,299,484,734,700,849,947,1019,1253,1544
1,100,100.000,366,523,787,777,936,1059,1166,2778,2778
2,100,100.000,621,768,823,838,882,957,1020,1248,1248
3,100,100.000,451,780,825,817,865,919,974,1217,1217
4,100,100.000,380,745,825,795,879,937,988,1055,1055
5,100,100.000,276,361,594,600,809,894,958,1198,1198
6,100,100.000,266,537,783,698,846,921,962,1126,1126
7,100,100.000,463,775,841,1451,1036,1898,3292,24041,24041
8,100,100.000,283,502,736,668,820,888,915,1205,1205
9,100,100.000,431,626,798,788,886,983,1036,3236,3236
10,100,100.000,255,399,505,647,821,896,1066,5115,5115
11,100,100.000,260,403,808,754,944,1046,1078,4080,4080
12,100,100.000,487,776,829,874,922,1055,1330,2628,2628
13,100,100.000,251,562,753,896,900,1123,1233,14435,14435
14,100,100.000,288,393,753,686,861,925,963,2448,2448
15,100,100.000,435,734,815,821,867,917,988,3681,3681
16,100,100.000,481,811,873,859,930,990,1048,1295,1295
17,100,100.000,389,754,807,853,869,934,1000,3921,3921
18,100,100.000,541,771,815,818,874,923,1015,1320,1320
19,100,100.000,419,646,818,808,877,950,1011,3545,3545
20,100,100.000,543,834,899,1000,957,1125,1517,7046,7046
21,100,100.000,377,707,836,994,960,1076,1395,15478,15478
22,100,100.000,514,828,872,891,971,1037,1093,1263,1263
23,100,100.000,484,802,851,857,915,970,1100,2133,2133
24,100,100.000,394,683,834,795,924,991,1017,1170,1170
25,100,100.000,626,797,832,843,881,921,958,1662,1662
26,100,100.000,451,736,850,815,897,986,1026,1095,1095
27,100,100.000,432,764,824,792,868,911,938,1001,1001
28,100,100.000,304,650,813,754,878,937,961,1125,1125
29,100,100.000,509,713,817,822,902,979,1066,1849,1849
30,100,100.000,481,705,837,810,894,987,1013,1496,1496
31,100,100.000,472,774,846,844,902,960,1028,1852,1852
32,100,100.000,454,746,809,840,851,945,976,6763,6763
33,100,100.000,556,760,812,802,848,920,941,1340,1340
34,100,100.000,402,744,811,784,856,906,969,1428,1428
35,100,100.000,411,780,811,832,858,929,941,3669,3669
36,100,100.000,541,776,825,851,872,946,1112,3266,3266
37,100,100.000,536,784,823,829,881,928,984,1136,1136
38,100,100.000,431,765,822,801,855,916,1001,1164,1164
39,100,100.000,359,722,844,811,893,965,1016,1139,1139
40,100,100.000,250,347,400,563,597,1033,1333,3040,3040
41,100,100.000,263,437,542,707,824,954,1352,5070,5070
42,100,100.000,264,344,387,605,510,915,2329,4308,4308
43,100,100.000,233,410,605,616,813,893,949,1200,1200
44,100,100.000,245,359,418,508,552,811,857,3015,3015
45,100,100.000,318,417,591,662,818,885,962,4070,4070
46,100,100.000,265,442,590,687,818,944,1136,4770,4770
47,100,100.000,278,422,595,632,811,866,914,2532,2532
48,100,100.000,287,439,597,643,816,886,976,2392,2392
49,100,100.000,242,428,598,845,849,916,968,13477,13477
50,100,100.000,256,369,468,566,779,889,940,2377,2377
51,100,100.000,262,380,535,617,751,1000,1059,2916,2916
52,100,100.000,264,427,600,777,845,973,1330,9011,9011
53,100,100.000,221,359,430,571,770,887,926,3199,3199
54,100,100.000,214,328,376,815,621,846,993,32441,32441
55,100,100.000,280,359,415,502,612,811,869,1535,1535
56,100,100.000,288,447,571,614,795,878,951,2218,2218
57,100,100.000,242,327,385,518,689,848,900,2415,2415
58,100,100.000,236,465,627,645,812,872,945,2643,2643
59,100,100.000,315,415,570,623,797,880,933,2559,2559
