Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,16.000,0.909,0.289,0.434,0.565,0.920,1.062,1.349,11.822,11.822,1.100
5,15.200,0.836,0.303,0.480,0.860,1.024,1.172,1.370,3.142,3.142,1.197
10,15.800,0.957,0.282,0.853,0.949,1.033,1.131,1.572,3.636,3.636,1.045
15,13.400,0.887,0.344,0.810,0.937,1.007,1.105,1.198,1.253,1.253,1.127
20,16.600,0.949,0.602,0.909,0.954,1.010,1.065,1.110,1.236,1.236,1.054
25,16.400,1.056,0.349,0.896,0.967,1.036,1.077,1.155,11.913,11.913,0.947
30,13.200,0.916,0.610,0.880,0.911,0.973,1.015,1.031,1.083,1.083,1.092
35,15.200,1.066,0.479,0.877,0.962,1.089,1.194,1.258,8.580,8.580,0.938
40,16.200,0.897,0.329,0.791,0.918,1.005,1.057,1.130,3.025,3.025,1.115
45,17.400,0.927,0.573,0.878,0.921,0.984,1.047,1.131,1.271,1.271,1.079
50,12.000,0.745,0.249,0.542,0.848,0.915,0.980,1.010,1.022,1.022,1.343
55,14.400,0.871,0.308,0.765,0.887,0.952,1.110,1.259,2.328,2.328,1.148
