Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,100.200,0.584,0.233,0.390,0.477,0.687,0.897,1.009,1.550,6.052,1.711
5,99.800,0.954,0.251,0.402,0.532,0.799,0.909,1.094,13.529,42.139,1.049
10,100.000,0.745,0.255,0.413,0.585,0.855,0.977,1.126,6.079,14.706,1.343
15,100.200,0.677,0.243,0.389,0.509,0.751,0.910,1.029,4.195,17.825,1.476
20,99.800,0.685,0.248,0.403,0.556,0.821,0.902,0.983,4.736,10.654,1.459
25,100.000,0.772,0.262,0.395,0.517,0.803,0.930,1.557,7.741,13.167,1.296
30,100.200,0.595,0.239,0.386,0.494,0.749,0.878,0.964,2.222,4.383,1.681
35,100.000,0.744,0.229,0.352,0.408,0.608,0.865,0.982,11.006,56.317,1.344
40,99.800,0.610,0.232,0.374,0.480,0.786,0.887,0.946,3.131,6.388,1.639
45,100.200,1.859,0.257,0.736,0.827,1.110,1.301,1.461,32.886,66.662,0.538
50,99.800,1.049,0.588,0.748,0.855,1.171,1.296,1.378,5.981,13.067,0.954
55,100.000,1.218,0.461,0.744,0.851,1.160,1.320,1.559,12.257,33.741,0.821
