Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,16.400,1.346,0.522,0.942,1.248,1.530,1.721,1.882,8.422,8.422,0.743
5,15.800,1.951,0.357,0.840,1.156,1.387,1.620,3.261,40.900,40.900,0.512
10,14.000,0.943,0.320,0.443,1.052,1.351,1.466,1.556,1.862,1.862,1.061
15,11.600,0.951,0.269,0.480,1.033,1.213,1.336,1.425,4.103,4.103,1.051
20,15.200,0.876,0.359,0.462,1.050,1.165,1.231,1.241,1.269,1.269,1.142
25,15.600,1.751,0.288,0.409,1.078,1.162,1.284,8.064,29.254,29.254,0.571
30,14.800,3.218,0.315,0.492,1.049,1.196,10.341,18.295,43.753,43.753,0.311
35,15.000,2.524,0.267,0.454,1.048,1.132,1.854,6.796,49.488,49.488,0.396
40,14.200,2.305,0.306,0.847,1.049,1.189,1.674,4.024,50.417,50.417,0.434
45,13.400,4.298,0.307,0.593,1.023,1.325,5.065,39.716,58.330,58.330,0.233
50,14.400,4.352,0.312,0.851,1.028,1.523,4.751,32.237,68.021,68.021,0.230
55,14.800,4.655,0.334,0.860,0.969,1.262,5.036,48.715,68.349,68.349,0.215
