Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,23.400,0.798,0.267,0.686,0.863,0.933,1.033,1.112,1.353,1.676,1.253
5,24.200,0.852,0.338,0.816,0.908,0.953,1.012,1.070,1.187,2.884,1.174
10,26.400,0.820,0.249,0.701,0.907,0.966,1.042,1.082,1.409,1.662,1.220
15,24.200,0.952,0.465,0.871,0.933,1.017,1.115,1.244,1.473,1.480,1.050
20,24.800,0.983,0.517,0.897,0.966,1.038,1.169,1.259,1.596,1.978,1.017
25,23.400,0.874,0.348,0.830,0.917,0.991,1.124,1.164,1.430,1.518,1.144
30,26.800,0.906,0.395,0.868,0.907,0.971,1.041,1.101,1.228,1.327,1.104
35,24.200,0.737,0.256,0.430,0.749,0.940,1.016,1.082,2.650,3.478,1.356
40,22.400,0.559,0.252,0.366,0.417,0.702,0.972,1.062,1.845,2.220,1.789
45,23.200,0.630,0.246,0.348,0.456,0.773,0.967,1.101,3.012,4.817,1.588
50,24.400,0.754,0.250,0.363,0.475,0.924,1.054,1.178,6.474,9.003,1.326
55,30.600,0.722,0.242,0.368,0.558,0.874,0.969,1.077,5.349,6.039,1.386
