Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,13.200,0.707,0.266,0.452,0.763,0.881,0.964,1.106,1.308,1.308,1.415
5,15.200,0.570,0.249,0.369,0.406,0.549,0.969,1.248,3.251,3.251,1.753
10,17.800,0.585,0.299,0.385,0.497,0.774,0.953,1.007,1.164,1.164,1.709
15,15.600,0.622,0.217,0.386,0.539,0.743,0.939,1.066,2.672,2.672,1.607
20,13.800,1.979,0.294,0.393,0.503,0.897,4.943,12.930,25.447,25.447,0.505
25,13.600,1.338,0.246,0.408,0.488,0.943,1.496,3.190,36.369,36.369,0.748
30,15.800,1.330,0.246,0.380,0.546,0.903,1.466,4.180,24.565,24.565,0.752
35,17.400,0.617,0.282,0.398,0.495,0.676,0.896,0.943,4.242,4.242,1.621
40,13.800,0.508,0.260,0.379,0.436,0.488,0.619,0.877,2.707,2.707,1.968
45,15.000,0.578,0.249,0.366,0.414,0.473,0.683,2.183,5.706,5.706,1.729
50,16.800,0.865,0.251,0.365,0.391,0.746,0.976,1.218,21.206,21.206,1.156
55,13.400,0.991,0.666,0.787,0.831,0.882,1.262,1.332,5.702,5.702,1.009
