Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,14.400,0.531,0.275,0.387,0.454,0.673,0.897,0.933,0.994,0.994,1.884
5,13.400,0.784,0.251,0.399,0.489,0.786,0.860,0.997,13.529,13.529,1.276
10,16.200,0.661,0.255,0.442,0.647,0.856,0.947,1.067,1.324,1.324,1.513
15,14.200,0.592,0.249,0.385,0.619,0.743,0.866,0.939,1.314,1.314,1.689
20,15.200,0.594,0.248,0.408,0.558,0.788,0.881,0.957,1.044,1.044,1.685
25,16.600,0.785,0.279,0.404,0.577,0.850,0.957,1.170,8.533,8.533,1.274
30,15.000,0.598,0.266,0.385,0.537,0.712,0.880,0.923,2.157,2.157,1.671
35,15.000,0.555,0.241,0.344,0.411,0.575,0.883,0.985,3.018,3.018,1.802
40,16.600,0.580,0.269,0.374,0.452,0.781,0.855,0.920,3.881,3.881,1.723
45,19.000,1.341,0.365,0.737,0.840,1.110,1.255,1.319,20.447,20.447,0.746
50,15.000,0.904,0.647,0.726,0.816,1.085,1.228,1.346,1.426,1.426,1.107
55,14.400,1.716,0.461,0.736,0.856,1.221,1.436,5.637,23.698,23.698,0.583
