Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,16.200,0.743,0.231,0.535,0.791,0.897,0.968,1.073,2.615,2.615,1.345
5,12.200,0.790,0.264,0.782,0.841,0.908,0.955,0.987,1.098,1.098,1.265
10,15.000,0.857,0.262,0.794,0.880,0.990,1.127,1.153,1.452,1.452,1.166
15,15.200,0.863,0.411,0.818,0.866,0.937,1.005,1.066,1.163,1.163,1.158
20,17.400,0.861,0.289,0.813,0.856,0.938,1.023,1.060,3.089,3.089,1.162
25,12.200,0.878,0.334,0.855,0.888,0.949,1.009,1.091,1.217,1.217,1.139
30,14.000,0.877,0.479,0.847,0.895,0.946,1.006,1.031,1.232,1.232,1.140
35,14.200,0.808,0.242,0.757,0.862,0.920,0.978,1.004,1.113,1.113,1.237
40,13.200,1.005,0.271,0.796,0.860,0.949,1.025,1.081,12.066,12.066,0.995
45,15.800,0.828,0.194,0.319,0.446,0.774,1.095,1.272,14.445,14.445,1.208
50,13.600,0.778,0.238,0.333,0.442,0.687,1.180,1.383,14.458,14.458,1.286
55,15.200,0.724,0.194,0.356,0.552,0.931,1.188,1.910,3.547,3.547,1.382
