Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,25.000,0.971,0.261,0.414,0.507,0.773,0.976,1.144,10.101,36.379,1.030
5,27.400,1.222,0.270,0.384,0.495,0.852,1.084,3.815,17.234,27.583,0.818
10,27.800,0.721,0.264,0.373,0.445,0.798,1.103,1.618,3.697,12.530,1.386
15,26.600,0.677,0.269,0.460,0.548,0.841,0.996,1.116,2.506,4.736,1.477
20,25.200,0.822,0.310,0.429,0.727,0.883,1.027,1.103,1.882,15.973,1.217
25,26.200,0.564,0.267,0.385,0.461,0.586,0.800,0.853,1.399,7.055,1.773
30,23.800,0.973,0.253,0.381,0.440,0.534,1.034,3.266,13.072,13.250,1.028
35,24.800,0.868,0.337,0.744,0.902,0.963,1.109,1.144,1.298,3.071,1.152
40,24.400,1.305,0.277,0.366,0.472,0.797,0.954,1.147,32.668,54.195,0.766
45,24.200,0.633,0.244,0.356,0.422,0.804,1.027,1.313,2.916,4.718,1.579
50,25.600,0.600,0.248,0.348,0.423,0.725,0.991,1.059,1.817,6.463,1.666
55,26.200,0.915,0.245,0.375,0.512,0.905,1.019,1.179,13.207,18.342,1.093
