Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,16.000,0.640,0.271,0.391,0.494,0.777,1.138,1.288,2.197,2.197,1.562
5,14.400,0.782,0.275,0.425,0.745,0.957,1.134,1.249,5.501,5.501,1.279
10,15.000,0.817,0.247,0.423,0.744,0.866,1.038,1.108,11.570,11.570,1.224
15,17.000,0.805,0.269,0.447,0.824,0.984,1.100,1.190,2.977,2.977,1.243
20,12.800,0.593,0.213,0.404,0.488,0.778,1.108,1.167,1.289,1.289,1.685
25,13.800,0.666,0.249,0.405,0.696,0.836,0.992,1.029,1.846,1.846,1.501
30,17.000,0.636,0.191,0.404,0.541,0.850,0.995,1.136,1.283,1.283,1.573
35,12.200,0.735,0.296,0.423,0.731,0.829,0.872,0.939,5.105,5.105,1.361
40,13.800,0.816,0.562,0.775,0.820,0.849,0.883,0.924,1.267,1.267,1.226
45,16.800,0.802,0.324,0.773,0.813,0.858,0.910,0.975,1.754,1.754,1.247
50,16.400,0.911,0.301,0.773,0.839,0.931,1.123,1.170,5.656,5.656,1.098
55,12.800,0.735,0.232,0.439,0.773,0.835,0.863,1.007,2.955,2.955,1.361
