Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,25.600,0.769,0.269,0.437,0.556,0.820,0.991,1.103,1.455,18.356,1.301
5,23.800,0.811,0.306,0.475,0.862,1.039,1.243,1.313,1.673,2.376,1.233
10,24.800,0.910,0.324,0.816,0.941,1.012,1.096,1.147,1.801,3.025,1.099
15,25.000,0.878,0.268,0.827,0.949,1.007,1.063,1.121,1.208,1.223,1.139
20,21.400,0.979,0.682,0.922,0.961,1.023,1.106,1.171,1.399,2.026,1.021
25,25.800,1.042,0.356,0.903,0.974,1.040,1.151,1.224,3.060,11.019,0.959
30,23.200,0.917,0.389,0.889,0.946,0.993,1.055,1.111,1.168,1.281,1.090
35,24.200,0.946,0.285,0.866,0.928,1.040,1.162,1.202,1.375,4.243,1.057
40,23.600,0.835,0.330,0.644,0.923,1.001,1.047,1.092,1.763,2.352,1.198
45,23.000,0.962,0.591,0.889,0.939,1.001,1.128,1.178,1.970,1.979,1.039
50,29.800,0.800,0.261,0.621,0.870,0.933,1.006,1.146,2.331,2.680,1.250
55,24.400,0.809,0.250,0.682,0.875,0.963,1.031,1.168,1.420,1.425,1.237
