Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,100.000,0.792,0.269,0.436,0.549,0.863,1.032,1.187,7.960,18.356,1.262
5,100.200,0.827,0.303,0.476,0.839,1.016,1.205,1.313,1.967,15.623,1.209
10,99.800,0.949,0.282,0.853,0.949,1.021,1.126,1.242,2.680,7.776,1.054
15,100.000,0.907,0.257,0.827,0.943,1.007,1.086,1.198,1.720,7.455,1.102
20,100.000,0.987,0.602,0.913,0.964,1.025,1.100,1.152,1.323,10.051,1.013
25,100.000,1.074,0.241,0.900,0.965,1.036,1.145,1.242,8.914,19.175,0.931
30,100.000,0.919,0.384,0.884,0.943,0.995,1.057,1.099,1.209,1.712,1.088
35,100.000,0.955,0.285,0.866,0.940,1.067,1.182,1.234,1.375,8.580,1.047
40,100.000,0.836,0.256,0.694,0.906,0.973,1.036,1.099,1.763,4.872,1.197
45,100.200,0.944,0.573,0.877,0.927,0.983,1.058,1.131,1.345,6.874,1.059
50,100.000,0.779,0.238,0.596,0.860,0.933,1.004,1.042,1.283,3.574,1.283
55,99.800,0.816,0.250,0.687,0.877,0.945,1.031,1.139,1.425,2.367,1.226
