Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,13.600,0.652,0.313,0.428,0.526,0.776,0.963,0.993,3.265,3.265,1.535
5,14.400,0.743,0.316,0.457,0.779,0.947,1.140,1.283,1.453,1.453,1.346
10,13.400,0.944,0.374,0.811,0.927,1.023,1.141,1.280,3.623,3.623,1.060
15,16.200,0.963,0.291,0.887,0.961,1.005,1.105,1.210,4.261,4.261,1.038
20,16.200,1.081,0.730,0.908,0.970,1.027,1.083,1.144,10.051,10.051,0.925
25,15.200,1.202,0.348,0.907,0.978,1.062,1.185,1.312,19.175,19.175,0.832
30,17.600,0.950,0.384,0.897,0.955,1.026,1.099,1.136,1.712,1.712,1.052
35,13.400,0.927,0.294,0.837,0.944,1.118,1.209,1.249,1.326,1.326,1.078
40,14.400,0.788,0.288,0.640,0.883,0.960,1.013,1.108,1.186,1.186,1.269
45,16.200,0.920,0.666,0.880,0.927,0.970,1.020,1.040,1.240,1.240,1.087
50,14.600,0.745,0.244,0.504,0.836,0.916,0.996,1.019,1.279,1.279,1.342
55,15.000,0.796,0.276,0.637,0.866,0.966,1.080,1.144,1.307,1.307,1.256
