Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,100,100.000,293,426,502,569,693,822,1021,1822,1822
1,101,101.000,266,386,424,460,489,615,688,1069,1144
2,100,100.000,261,403,486,1509,808,1052,4519,36379,36379
3,100,100.000,281,446,533,633,804,976,1059,2161,2161
4,99,99.000,270,421,508,624,711,963,1102,4435,4435
5,100,100.000,299,401,473,1421,613,3733,9602,27583,27583
6,100,100.000,269,346,390,1418,491,4206,9481,17234,17234
7,100,100.000,305,409,692,713,891,944,980,3865,3865
8,100,100.000,295,411,766,710,929,989,1083,3199,3199
9,100,100.000,310,387,473,903,682,1104,2355,8825,8825
10,100,100.000,267,369,410,416,452,522,569,632,632
11,101,101.000,270,352,399,737,808,1272,2111,4661,5189
12,99,99.000,251,361,398,1376,474,3075,7006,26572,26572
13,100,100.000,328,390,463,540,619,802,910,2011,2011
14,101,101.000,260,433,713,731,976,1119,1186,1340,2702
15,100,100.000,269,389,500,616,830,1066,1155,1576,1576
16,99,99.000,309,464,653,884,884,1212,2376,8172,8172
17,100,100.000,388,494,666,713,915,1070,1180,1279,1279
18,100,100.000,356,533,847,774,963,1094,1179,1276,1276
19,101,101.000,255,441,547,628,811,920,1008,1116,1298
20,100,100.000,247,452,816,1152,960,1698,3078,15973,15973
21,99,99.000,395,758,856,865,966,1068,1127,1622,1622
22,101,101.000,251,370,413,468,482,682,898,1097,1107
23,99,99.000,330,519,736,759,965,1103,1185,2259,2259
24,100,100.000,300,524,762,726,869,972,1154,1310,1310
25,101,101.000,277,374,421,773,682,853,1565,7055,7539
26,100,100.000,280,465,525,676,764,902,1116,7243,7243
27,100,100.000,267,384,426,528,531,783,1096,3296,3296
28,99,99.000,276,373,439,591,569,798,886,9439,9439
29,101,101.000,266,377,435,468,508,619,800,906,942
30,100,100.000,266,428,489,559,664,890,960,1739,1739
31,99,99.000,311,398,436,499,532,759,972,1157,1157
32,100,100.000,260,372,417,733,517,1000,3266,8117,8117
33,101,101.000,253,358,394,407,448,514,543,657,726
34,99,99.000,279,365,424,1156,496,1845,7204,16321,16321
35,100,100.000,292,465,826,807,1088,1210,1461,1564,1564
36,101,101.000,385,671,871,855,956,1057,1121,1931,4134
37,100,100.000,446,803,891,871,948,1025,1138,1692,1692
38,99,99.000,375,767,906,863,967,1069,1152,1298,1298
39,101,101.000,416,713,859,896,929,1019,1079,3071,6660
40,100,100.000,310,418,519,618,690,937,1147,2261,2261
41,100,100.000,230,392,600,769,871,1125,1359,7940,7940
42,99,99.000,257,383,609,781,935,1191,1573,5863,5863
43,101,101.000,258,346,395,540,832,922,982,1063,1218
44,99,99.000,277,368,421,2408,653,3224,4268,63263,63263
45,100,100.000,231,337,379,557,851,950,1043,2475,2475
46,100,100.000,312,419,578,758,940,1285,1526,4229,4229
47,100,100.000,300,381,765,738,1050,1224,1255,1438,1438
48,101,101.000,249,335,384,528,476,706,917,4718,4757
49,100,100.000,244,345,398,453,490,715,861,1271,1271
50,100,100.000,297,370,613,670,918,1083,1205,1375,1375
51,99,99.000,261,400,544,681,821,992,1194,6463,6463
52,101,101.000,238,307,341,352,385,430,453,600,625
53,100,100.000,260,357,517,625,868,946,1023,2225,2225
54,100,100.000,276,354,439,600,667,986,1044,5854,5854
55,99,99.000,372,495,760,2041,962,6939,13207,25311,25311
56,100,100.000,278,342,380,491,606,893,967,1200,1200
57,101,101.000,245,386,504,629,832,940,1019,1990,2898
58,99,99.000,237,395,567,634,871,976,1086,1640,1640
59,100,100.000,266,349,398,510,508,937,1053,2369,2369
