Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
4,SendPayment,1774935359.968144,48026,5,1
4,SendPayment,1774935359.976229,39883,8,1
1,Amalgamate,1774935359.986998,29145,13,1
4,SendPayment,1774935359.995589,20542,6,1
3,DepositChecking,1774935360.007712,8422,10,1
4,SendPayment,1774935360.017129,2003,9,1
5,TransactSavings,1774935360.026678,1752,12,1
2,Balance,1774935360.036116,1664,7,1
6,WriteCheck,1774935360.047521,1668,11,1
4,SendPayment,1774935360.056114,1671,0,1
4,SendPayment,1774935360.067523,1800,14,1
4,SendPayment,1774935360.076095,1507,1,1
3,DepositChecking,1774935360.087163,1531,16,1
5,TransactSavings,1774935360.096096,1498,3,1
1,Amalgamate,1774935360.106099,1583,17,1
4,SendPayment,1774935360.116102,5627,4,1
6,WriteCheck,1774935360.127530,1582,19,1
6,WriteCheck,1774935360.136109,1560,2,1
4,SendPayment,1774935360.146109,1720,18,1
4,SendPayment,1774935360.157056,995,15,1
4,SendPayment,1774935360.166141,1396,8,1
5,TransactSavings,1774935360.176551,915,13,1
6,WriteCheck,1774935360.187226,1113,10,1
3,DepositChecking,1774935360.197243,981,6,1
3,DepositChecking,1774935360.207096,1317,5,1
4,SendPayment,1774935360.217267,1461,9,1
4,SendPayment,1774935360.226257,1157,12,1
2,Balance,1774935360.236147,867,7,1
2,Balance,1774935360.247173,982,11,1
3,DepositChecking,1774935360.257128,783,0,1
4,SendPayment,1774935360.266127,1312,14,1
4,SendPayment,1774935360.276146,955,1,1
6,WriteCheck,1774935360.286318,1315,16,1
3,DepositChecking,1774935360.297466,1455,3,1
3,DepositChecking,1774935360.307173,1318,17,1
4,SendPayment,1774935360.317244,1066,4,1
5,TransactSavings,1774935360.326096,1411,19,1
4,SendPayment,1774935360.336107,806,2,1
1,Amalgamate,1774935360.347151,900,18,1
3,DepositChecking,1774935360.357249,758,15,1
3,DepositChecking,1774935360.366191,776,8,1
2,Balance,1774935360.376525,801,13,1
6,WriteCheck,1774935360.386124,902,10,1
3,DepositChecking,1774935360.396153,1025,6,1
1,Amalgamate,1774935360.407056,852,5,1
4,SendPayment,1774935360.417157,854,9,1
5,TransactSavings,1774935360.426146,820,12,1
1,Amalgamate,1774935360.437364,947,7,1
1,Amalgamate,1774935360.447198,803,11,1
2,Balance,1774935360.457125,1343,0,1
2,Balance,1774935360.467264,783,14,1
6,WriteCheck,1774935360.477217,823,1,1
4,SendPayment,1774935360.487235,923,16,1
4,SendPayment,1774935360.496165,871,3,1
2,Balance,1774935360.507092,770,17,1
4,SendPayment,1774935360.516145,926,4,1
6,WriteCheck,1774935360.526150,922,19,1
5,TransactSavings,1774935360.536197,811,2,1
3,DepositChecking,1774935360.547501,1371,18,1
4,SendPayment,1774935360.557106,731,15,1
4,SendPayment,1774935360.567280,1064,8,1
5,TransactSavings,1774935360.577242,1439,13,1
3,DepositChecking,1774935360.587246,997,10,1
3,DepositChecking,1774935360.597241,1654,6,1
1,Amalgamate,1774935360.607232,1030,5,1
3,DepositChecking,1774935360.617252,1136,9,1
4,SendPayment,1774935360.627236,1028,12,1
2,Balance,1774935360.637237,1032,7,1
3,DepositChecking,1774935360.647246,1027,11,1
4,SendPayment,1774935360.656977,1768,0,1
6,WriteCheck,1774935360.667350,1561,14,1
5,TransactSavings,1774935360.677249,1210,1,1
4,SendPayment,1774935360.686115,1250,16,1
2,Balance,1774935360.697555,1735,3,1
4,SendPayment,1774935360.706124,1551,17,1
3,DepositChecking,1774935360.717565,1304,4,1
5,TransactSavings,1774935360.726168,1454,19,1
4,SendPayment,1774935360.736148,3453,2,1
4,SendPayment,1774935360.747546,1023,18,1
5,TransactSavings,1774935360.757154,945,15,1
3,DepositChecking,1774935360.766123,1110,8,1
1,Amalgamate,1774935360.777532,1095,13,1
3,DepositChecking,1774935360.787178,1160,10,1
3,DepositChecking,1774935360.796195,1079,6,1
5,TransactSavings,1774935360.807165,1449,5,1
3,DepositChecking,1774935360.816129,1249,9,1
1,Amalgamate,1774935360.826528,1130,12,1
5,TransactSavings,1774935360.836133,1081,7,1
1,Amalgamate,1774935360.846430,1024,11,1
4,SendPayment,1774935360.855627,1466,0,1
6,WriteCheck,1774935360.866160,1076,14,1
5,TransactSavings,1774935360.876142,1028,1,1
4,SendPayment,1774935360.886951,1294,16,1
2,Balance,1774935360.897213,1272,3,1
4,SendPayment,1774935360.906136,1400,17,1
3,DepositChecking,1774935360.917264,3256,4,1
5,TransactSavings,1774935360.926556,1396,19,1
6,WriteCheck,1774935360.936071,1319,2,1
2,Balance,1774935360.945934,1297,18,1
1,Amalgamate,1774935360.956152,1242,15,1
6,WriteCheck,1774935360.967519,1347,8,1
6,WriteCheck,1774935360.977089,1360,13,1
5,TransactSavings,1774935360.987156,1233,10,1
3,DepositChecking,1774935360.997141,1838,6,1
4,SendPayment,1774935361.007336,1937,5,1
4,SendPayment,1774935361.016135,1283,9,1
4,SendPayment,1774935361.026189,2602,12,1
4,SendPayment,1774935361.035786,1753,7,1
5,TransactSavings,1774935361.045730,2282,11,1
1,Amalgamate,1774935361.057667,2483,0,1
5,TransactSavings,1774935361.067183,2589,14,1
3,DepositChecking,1774935361.076163,3386,1,1
1,Amalgamate,1774935361.087049,1412,16,1
6,WriteCheck,1774935361.096945,1038,3,1
2,Balance,1774935361.107043,758,17,1
3,DepositChecking,1774935361.117287,815,4,1
4,SendPayment,1774935361.126168,766,19,1
1,Amalgamate,1774935361.136184,870,2,1
3,DepositChecking,1774935361.146139,868,18,1
3,DepositChecking,1774935361.156143,863,15,1
1,Amalgamate,1774935361.166193,895,8,1
5,TransactSavings,1774935361.177158,878,13,1
6,WriteCheck,1774935361.186155,886,10,1
4,SendPayment,1774935361.197520,852,6,1
4,SendPayment,1774935361.206121,906,5,1
2,Balance,1774935361.216193,1053,9,1
2,Balance,1774935361.226186,1912,12,1
1,Amalgamate,1774935361.236240,1068,7,1
2,Balance,1774935361.246123,917,11,1
1,Amalgamate,1774935361.257093,1017,0,1
4,SendPayment,1774935361.267274,817,14,1
3,DepositChecking,1774935361.277239,942,1,1
5,TransactSavings,1774935361.286123,1114,16,1
2,Balance,1774935361.297532,947,3,1
4,SendPayment,1774935361.307167,968,17,1
2,Balance,1774935361.317348,2550,4,1
4,SendPayment,1774935361.326093,1167,19,1
1,Amalgamate,1774935361.335695,993,2,1
2,Balance,1774935361.346178,958,18,1
1,Amalgamate,1774935361.357087,2072,15,1
4,SendPayment,1774935361.366130,1232,8,1
6,WriteCheck,1774935361.377027,1155,13,1
4,SendPayment,1774935361.385701,2302,10,1
1,Amalgamate,1774935361.397151,1484,6,1
5,TransactSavings,1774935361.406676,1753,5,1
6,WriteCheck,1774935361.417434,1698,9,1
3,DepositChecking,1774935361.425402,1479,12,1
1,Amalgamate,1774935361.436171,2606,7,1
6,WriteCheck,1774935361.447547,1473,11,1
4,SendPayment,1774935361.457119,1219,0,1
1,Amalgamate,1774935361.466074,1433,14,1
1,Amalgamate,1774935361.476204,1531,1,1
2,Balance,1774935361.486177,1743,16,1
1,Amalgamate,1774935361.496163,1667,3,1
1,Amalgamate,1774935361.506851,1277,17,1
2,Balance,1774935361.517416,1718,4,1
2,Balance,1774935361.526166,1855,19,1
3,DepositChecking,1774935361.536072,1248,2,1
4,SendPayment,1774935361.545948,1227,18,1
5,TransactSavings,1774935361.557108,1325,15,1
1,Amalgamate,1774935361.567323,2089,8,1
4,SendPayment,1774935361.577265,1404,13,1
2,Balance,1774935361.587137,1262,10,1
2,Balance,1774935361.596161,918,6,1
1,Amalgamate,1774935361.606185,970,5,1
1,Amalgamate,1774935361.617523,1285,9,1
6,WriteCheck,1774935361.627203,1701,12,1
6,WriteCheck,1774935361.636111,1395,7,1
1,Amalgamate,1774935361.646151,1260,11,1
3,DepositChecking,1774935361.655890,1882,0,1
2,Balance,1774935361.667612,1338,14,1
4,SendPayment,1774935361.677184,1349,1,1
6,WriteCheck,1774935361.687312,1308,16,1
2,Balance,1774935361.696156,995,3,1
4,SendPayment,1774935361.707150,1107,17,1
2,Balance,1774935361.716162,1015,4,1
3,DepositChecking,1774935361.726911,1335,19,1
4,SendPayment,1774935361.737346,1092,2,1
1,Amalgamate,1774935361.747256,1101,18,1
3,DepositChecking,1774935361.756202,1655,15,1
2,Balance,1774935361.766428,1568,8,1
6,WriteCheck,1774935361.776085,1341,13,1
1,Amalgamate,1774935361.787578,1950,10,1
1,Amalgamate,1774935361.796173,1873,6,1
4,SendPayment,1774935361.806108,1144,5,1
2,Balance,1774935361.816179,1370,9,1
6,WriteCheck,1774935361.827565,2105,12,1
3,DepositChecking,1774935361.837187,1584,7,1
4,SendPayment,1774935361.846209,1930,11,1
1,Amalgamate,1774935361.857071,946,0,1
2,Balance,1774935361.867178,1035,14,1
3,DepositChecking,1774935361.876499,969,1,1
3,DepositChecking,1774935361.887422,947,16,1
4,SendPayment,1774935361.895725,870,3,1
3,DepositChecking,1774935361.907086,836,17,1
4,SendPayment,1774935361.917179,987,4,1
4,SendPayment,1774935361.926176,837,19,1
4,SendPayment,1774935361.936127,1387,2,1
1,Amalgamate,1774935361.947559,1334,18,1
4,SendPayment,1774935361.956430,1101,15,1
3,DepositChecking,1774935361.967470,1079,8,1
6,WriteCheck,1774935361.977192,1149,13,1
2,Balance,1774935361.985675,953,10,1
2,Balance,1774935361.995681,1047,6,1
4,SendPayment,1774935362.005570,1235,5,1
2,Balance,1774935362.016246,1652,9,1
3,DepositChecking,1774935362.027525,1334,12,1
6,WriteCheck,1774935362.036630,1738,7,1
4,SendPayment,1774935362.047469,1858,11,1
6,WriteCheck,1774935362.057102,2136,0,1
6,WriteCheck,1774935362.066165,1622,14,1
4,SendPayment,1774935362.077588,1861,1,1
6,WriteCheck,1774935362.086211,1808,16,1
5,TransactSavings,1774935362.097086,1459,3,1
2,Balance,1774935362.107140,1622,17,1
1,Amalgamate,1774935362.117294,1328,4,1
3,DepositChecking,1774935362.127173,1372,19,1
3,DepositChecking,1774935362.136137,1700,2,1
6,WriteCheck,1774935362.146217,1653,18,1
2,Balance,1774935362.156606,1772,15,1
1,Amalgamate,1774935362.165734,1943,8,1
3,DepositChecking,1774935362.177670,1853,13,1
6,WriteCheck,1774935362.186395,3037,10,1
4,SendPayment,1774935362.195568,1345,6,1
5,TransactSavings,1774935362.206182,1222,5,1
4,SendPayment,1774935362.216239,1983,9,1
1,Amalgamate,1774935362.227557,1907,12,1
1,Amalgamate,1774935362.236359,1749,7,1
2,Balance,1774935362.246172,1654,11,1
2,Balance,1774935362.257140,1571,0,1
2,Balance,1774935362.266892,1409,14,1
1,Amalgamate,1774935362.277391,1757,1,1
1,Amalgamate,1774935362.286578,1614,16,1
4,SendPayment,1774935362.297058,1760,3,1
3,DepositChecking,1774935362.306946,1444,17,1
2,Balance,1774935362.317343,869,4,1
2,Balance,1774935362.325295,734,19,1
5,TransactSavings,1774935362.336167,600,2,1
1,Amalgamate,1774935362.346113,623,18,1
3,DepositChecking,1774935362.357527,688,15,1
4,SendPayment,1774935362.366134,581,8,1
6,WriteCheck,1774935362.376970,639,13,1
5,TransactSavings,1774935362.386148,698,10,1
1,Amalgamate,1774935362.396146,643,6,1
4,SendPayment,1774935362.406146,635,5,1
2,Balance,1774935362.415608,616,9,1
5,TransactSavings,1774935362.426211,622,12,1
3,DepositChecking,1774935362.436165,613,7,1
2,Balance,1774935362.447496,551,11,1
1,Amalgamate,1774935362.456181,645,0,1
5,TransactSavings,1774935362.467157,605,14,1
6,WriteCheck,1774935362.476455,632,1,1
1,Amalgamate,1774935362.487419,604,16,1
3,DepositChecking,1774935362.497169,575,3,1
3,DepositChecking,1774935362.507114,1000,17,1
3,DepositChecking,1774935362.516159,831,4,1
4,SendPayment,1774935362.526143,682,19,1
6,WriteCheck,1774935362.535538,681,2,1
1,Amalgamate,1774935362.546105,700,18,1
1,Amalgamate,1774935362.557088,614,15,1
2,Balance,1774935362.567268,774,8,1
3,DepositChecking,1774935362.577235,772,13,1
3,DepositChecking,1774935362.586145,804,10,1
5,TransactSavings,1774935362.597514,766,6,1
2,Balance,1774935362.607213,1339,5,1
2,Balance,1774935362.617263,982,9,1
4,SendPayment,1774935362.625331,895,12,1
3,DepositChecking,1774935362.636169,1098,7,1
1,Amalgamate,1774935362.647134,1041,11,1
4,SendPayment,1774935362.657133,1397,0,1
6,WriteCheck,1774935362.667304,1596,14,1
3,DepositChecking,1774935362.676972,1255,1,1
4,SendPayment,1774935362.687294,1857,16,1
6,WriteCheck,1774935362.697260,1170,3,1
6,WriteCheck,1774935362.707208,1535,17,1
1,Amalgamate,1774935362.717283,1710,4,1
6,WriteCheck,1774935362.726197,1353,19,1
4,SendPayment,1774935362.736849,2763,2,1
6,WriteCheck,1774935362.746716,869,18,1
4,SendPayment,1774935362.757107,766,15,1
3,DepositChecking,1774935362.767136,869,8,1
1,Amalgamate,1774935362.777326,1579,13,1
4,SendPayment,1774935362.786701,1313,10,1
4,SendPayment,1774935362.797410,1228,6,1
1,Amalgamate,1774935362.806132,962,5,1
2,Balance,1774935362.817534,1089,9,1
2,Balance,1774935362.825418,963,12,1
4,SendPayment,1774935362.837083,1341,7,1
4,SendPayment,1774935362.847306,1379,11,1
4,SendPayment,1774935362.857157,1236,0,1
4,SendPayment,1774935362.866133,1182,14,1
4,SendPayment,1774935362.877145,1084,1,1
2,Balance,1774935362.886679,1819,16,1
6,WriteCheck,1774935362.896136,1360,3,1
3,DepositChecking,1774935362.905428,1721,17,1
4,SendPayment,1774935362.915979,1158,4,1
3,DepositChecking,1774935362.926152,1747,19,1
6,WriteCheck,1774935362.935479,1888,2,1
6,WriteCheck,1774935362.946102,1320,18,1
4,SendPayment,1774935362.957574,1647,15,1
2,Balance,1774935362.967200,1721,8,1
4,SendPayment,1774935362.977284,1675,13,1
3,DepositChecking,1774935362.987225,1533,10,1
3,DepositChecking,1774935362.996085,1217,6,1
4,SendPayment,1774935363.006154,1104,5,1
4,SendPayment,1774935363.015765,1484,9,1
5,TransactSavings,1774935363.026480,1700,12,1
5,TransactSavings,1774935363.036037,1263,7,1
4,SendPayment,1774935363.045926,1239,11,1
5,TransactSavings,1774935363.057137,1677,0,1
2,Balance,1774935363.067300,1520,14,1
4,SendPayment,1774935363.077263,1752,1,1
2,Balance,1774935363.087247,1855,16,1
5,TransactSavings,1774935363.096130,1440,3,1
1,Amalgamate,1774935363.107543,913,17,1
3,DepositChecking,1774935363.116103,954,4,1
2,Balance,1774935363.126123,520,19,1
4,SendPayment,1774935363.136097,657,2,1
6,WriteCheck,1774935363.147169,645,18,1
4,SendPayment,1774935363.157070,756,15,1
2,Balance,1774935363.166167,633,8,1
5,TransactSavings,1774935363.176152,497,13,1
2,Balance,1774935363.186129,664,10,1
2,Balance,1774935363.196120,602,6,1
3,DepositChecking,1774935363.207082,522,5,1
5,TransactSavings,1774935363.217268,716,9,1
4,SendPayment,1774935363.227221,692,12,1
4,SendPayment,1774935363.235736,704,7,1
6,WriteCheck,1774935363.247612,657,11,1
2,Balance,1774935363.257043,685,0,1
4,SendPayment,1774935363.266178,829,14,1
2,Balance,1774935363.276149,916,1,1
5,TransactSavings,1774935363.287131,844,16,1
5,TransactSavings,1774935363.297283,970,3,1
4,SendPayment,1774935363.306287,1497,17,1
4,SendPayment,1774935363.316140,1035,4,1
4,SendPayment,1774935363.326178,1260,19,1
4,SendPayment,1774935363.337528,1213,2,1
6,WriteCheck,1774935363.347183,1000,18,1
4,SendPayment,1774935363.357144,1051,15,1
6,WriteCheck,1774935363.366184,1275,8,1
2,Balance,1774935363.376273,1501,13,1
3,DepositChecking,1774935363.387108,1219,10,1
3,DepositChecking,1774935363.397292,1174,6,1
1,Amalgamate,1774935363.407256,1460,5,1
3,DepositChecking,1774935363.417252,1178,9,1
4,SendPayment,1774935363.426880,1551,12,1
5,TransactSavings,1774935363.435652,1492,7,1
4,SendPayment,1774935363.446163,1565,11,1
2,Balance,1774935363.457154,1613,0,1
6,WriteCheck,1774935363.467197,1348,14,1
5,TransactSavings,1774935363.477275,1135,1,1
1,Amalgamate,1774935363.486806,1151,16,1
1,Amalgamate,1774935363.497196,1745,3,1
3,DepositChecking,1774935363.507080,1368,17,1
3,DepositChecking,1774935363.516170,1530,4,1
2,Balance,1774935363.527165,1050,19,1
3,DepositChecking,1774935363.536156,1588,2,1
3,DepositChecking,1774935363.547583,1543,18,1
4,SendPayment,1774935363.557203,1509,15,1
2,Balance,1774935363.567285,1518,8,1
2,Balance,1774935363.577258,1452,13,1
4,SendPayment,1774935363.587238,1050,10,1
4,SendPayment,1774935363.596713,951,6,1
5,TransactSavings,1774935363.607164,1129,5,1
5,TransactSavings,1774935363.617282,1303,9,1
1,Amalgamate,1774935363.627237,1017,12,1
1,Amalgamate,1774935363.637247,1068,7,1
6,WriteCheck,1774935363.646140,1075,11,1
