Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,14.000,1.323,0.415,1.025,1.347,1.535,1.808,2.105,3.209,3.209,0.756
5,16.400,2.021,0.438,0.811,1.235,1.484,1.694,2.268,43.835,43.835,0.495
10,16.800,2.206,0.361,0.494,1.101,1.333,1.537,4.011,40.636,40.636,0.453
15,13.000,1.598,0.328,0.505,1.034,1.237,1.324,1.411,36.902,36.902,0.626
20,13.200,1.799,0.320,0.577,1.072,1.170,1.244,1.328,39.902,39.902,0.556
25,12.800,1.481,0.325,0.426,1.038,1.150,1.205,1.622,34.729,34.729,0.675
30,15.400,2.352,0.295,0.632,1.015,1.136,3.075,16.399,34.105,34.105,0.425
35,13.800,1.754,0.338,0.663,1.049,1.130,1.261,2.175,36.771,36.771,0.570
40,14.000,1.901,0.389,0.868,1.052,1.245,1.779,3.191,46.568,46.568,0.526
45,15.600,3.684,0.354,0.625,1.038,1.376,12.151,28.033,48.217,48.217,0.271
50,16.600,3.569,0.274,0.813,0.986,1.108,1.785,17.283,59.267,59.267,0.280
55,16.200,2.958,0.335,0.863,1.019,1.338,1.694,25.141,38.086,38.086,0.338
