Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,100.200,0.752,0.259,0.466,0.748,0.921,1.080,1.191,1.836,8.667,1.329
5,100.000,0.697,0.243,0.421,0.536,0.838,1.019,1.142,4.179,12.000,1.435
10,100.000,0.733,0.246,0.453,0.820,0.925,1.050,1.111,1.340,2.058,1.364
15,100.000,0.895,0.253,0.828,0.892,0.965,1.052,1.125,1.647,5.783,1.117
20,100.000,0.897,0.443,0.834,0.883,0.948,1.035,1.098,1.451,4.278,1.115
25,99.800,0.859,0.319,0.823,0.871,0.923,0.983,1.042,1.179,2.010,1.164
30,100.000,0.841,0.343,0.799,0.864,0.917,0.983,1.039,1.200,2.088,1.189
35,100.200,0.942,0.235,0.807,0.871,0.915,0.971,1.014,2.321,27.806,1.061
40,100.000,0.825,0.244,0.788,0.860,0.908,0.991,1.063,1.501,2.685,1.213
45,100.000,0.895,0.497,0.835,0.877,0.932,1.017,1.087,1.758,2.757,1.118
50,100.000,0.760,0.224,0.586,0.827,0.895,0.960,1.022,1.227,5.972,1.316
55,100.000,0.799,0.211,0.779,0.832,0.890,0.955,0.999,1.181,1.744,1.251
