Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,17.000,0.750,0.294,0.472,0.715,0.918,1.096,1.170,2.610,2.610,1.333
5,16.800,0.717,0.318,0.441,0.566,0.898,1.029,1.100,5.998,5.998,1.396
10,14.000,0.707,0.306,0.429,0.786,0.924,1.067,1.118,1.439,1.439,1.414
15,13.800,0.872,0.355,0.825,0.877,0.934,1.049,1.078,1.135,1.135,1.147
20,15.000,0.887,0.443,0.841,0.888,0.953,1.055,1.127,1.451,1.451,1.127
25,16.800,0.858,0.319,0.819,0.881,0.925,0.988,1.036,1.151,1.151,1.166
30,14.600,0.819,0.343,0.743,0.857,0.916,0.958,0.986,1.053,1.053,1.222
35,15.800,0.832,0.235,0.807,0.866,0.920,0.980,1.037,1.637,1.637,1.201
40,17.200,0.843,0.244,0.810,0.875,0.939,0.994,1.063,2.685,2.685,1.186
45,15.400,0.910,0.497,0.830,0.875,0.922,1.018,1.279,2.653,2.653,1.098
50,15.000,0.724,0.248,0.492,0.823,0.901,0.927,0.997,1.448,1.448,1.380
55,13.600,0.804,0.265,0.798,0.842,0.883,0.972,1.055,1.744,1.744,1.244
