Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,17.000,0.827,0.305,0.749,0.850,0.936,1.004,1.131,1.320,1.320,1.209
5,13.600,0.829,0.295,0.713,0.850,0.925,1.023,1.148,2.777,2.777,1.206
10,16.400,0.948,0.504,0.874,0.936,0.972,1.088,1.308,1.842,1.842,1.055
15,16.600,0.875,0.279,0.831,0.908,0.964,1.055,1.224,1.529,1.529,1.142
20,15.600,0.948,0.547,0.865,0.933,0.999,1.149,1.473,1.526,1.526,1.055
25,15.800,0.899,0.409,0.821,0.896,0.941,1.076,1.146,1.844,1.844,1.112
30,14.000,0.842,0.423,0.664,0.853,0.927,1.009,1.257,2.699,2.699,1.188
35,17.200,0.830,0.329,0.802,0.873,0.921,0.971,1.137,1.277,1.277,1.205
40,15.800,1.008,0.469,0.831,0.902,0.982,1.208,1.375,6.526,6.526,0.992
45,14.200,1.006,0.433,0.831,0.933,1.114,1.188,1.333,3.277,3.277,0.994
50,15.600,0.868,0.281,0.701,0.884,0.999,1.226,1.462,3.448,3.448,1.152
55,15.200,0.875,0.263,0.830,0.888,0.934,1.090,1.233,1.449,1.449,1.142
