Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,100,100.000,326,589,717,844,900,1163,2194,4908,4908
1,101,101.000,279,522,781,746,908,1020,1088,1320,1904
2,100,100.000,612,821,874,883,953,1019,1114,1274,1274
3,99,99.000,418,812,892,867,952,1013,1046,1178,1178
4,101,101.000,422,827,882,879,953,1022,1082,1205,1574
5,100,100.000,254,383,625,655,878,997,1175,1701,1701
6,100,100.000,258,423,684,685,885,983,1038,2777,2777
7,99,99.000,466,822,886,870,955,1048,1129,1352,1352
8,100,100.000,510,823,887,886,949,1069,1162,1562,1562
9,100,100.000,542,871,915,927,979,1110,1233,1685,1685
10,101,101.000,608,872,910,937,987,1118,1195,1384,1495
11,100,100.000,504,837,899,916,986,1156,1343,1462,1462
12,100,100.000,603,868,918,948,962,1141,1322,2305,2305
13,100,100.000,635,846,912,925,966,1052,1331,1849,1849
14,99,99.000,583,857,939,1001,1038,1237,1308,5006,5006
15,101,101.000,581,861,913,956,1004,1224,1372,1653,1694
16,100,100.000,514,874,923,960,980,1103,1451,3027,3027
17,100,100.000,272,396,815,695,915,1006,1061,1270,1270
18,100,100.000,452,807,896,868,940,1036,1129,1529,1529
19,100,100.000,475,823,906,955,971,1131,1436,3223,3223
20,100,100.000,610,893,951,970,1022,1125,1239,1689,1689
21,100,100.000,564,855,966,1002,1118,1265,1410,2291,2291
22,100,100.000,478,850,915,956,996,1172,1428,2905,2905
23,99,99.000,516,844,926,919,991,1074,1208,1945,1945
24,100,100.000,577,856,917,944,983,1048,1220,3349,3349
25,101,101.000,696,875,934,960,986,1126,1317,1488,1515
26,99,99.000,520,765,907,882,974,1125,1189,1444,1444
27,101,101.000,612,842,898,898,940,993,1020,1350,1844
28,99,99.000,496,835,896,903,954,1058,1206,2178,2178
29,101,101.000,345,712,879,819,943,1005,1063,1293,1658
30,99,99.000,460,741,890,878,950,1006,1188,2699,2699
31,100,100.000,415,669,876,815,927,986,1125,1394,1394
32,100,100.000,477,648,844,804,932,1028,1092,1381,1381
33,100,100.000,658,853,900,909,946,1037,1166,1640,1640
34,101,101.000,608,846,882,942,978,1237,1315,1555,1770
35,99,99.000,568,838,874,871,918,981,1106,1138,1138
36,101,101.000,394,826,875,862,910,999,1137,1277,1319
37,99,99.000,449,772,861,828,921,961,1039,1083,1083
38,100,100.000,255,342,388,483,565,831,959,1233,1233
39,100,100.000,530,827,880,883,921,963,1140,2407,2407
40,100,100.000,507,830,870,893,924,1081,1194,1706,1706
41,101,101.000,572,841,875,893,924,1028,1113,1311,1346
42,100,100.000,626,833,882,916,950,1148,1276,2777,2777
43,100,100.000,367,687,870,827,948,1025,1182,2191,2191
44,100,100.000,504,820,899,978,982,1184,1375,6526,6526
45,100,100.000,372,765,880,920,947,1078,1167,5647,5647
46,100,100.000,314,829,886,1020,925,1022,1112,14856,14856
47,99,99.000,552,831,910,908,945,1090,1321,1792,1792
48,101,101.000,354,637,878,893,950,1019,1121,3277,5000
49,99,99.000,720,1041,1126,1229,1184,1393,1664,7366,7366
50,100,100.000,701,1043,1118,1139,1214,1326,1451,3448,3448
51,101,101.000,335,665,856,806,930,1009,1121,1365,1401
52,100,100.000,591,841,873,902,932,1047,1218,1527,1527
53,100,100.000,327,653,858,793,910,987,1184,1642,1642
54,99,99.000,273,344,520,605,859,960,1022,2139,2139
55,100,100.000,263,608,851,757,916,994,1092,1260,1260
56,100,100.000,417,806,916,926,1090,1216,1286,1433,1433
57,100,100.000,572,846,885,928,940,1037,1201,3460,3460
58,100,100.000,539,829,879,900,921,1035,1194,3537,3537
59,100,100.000,559,866,897,911,959,1049,1145,1449,1449
