Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,20.600,1.069,0.496,0.710,0.887,1.277,1.539,1.828,4.594,5.511,0.935
5,25.000,0.874,0.373,0.550,0.750,1.189,1.384,1.468,2.059,3.340,1.144
10,21.200,1.183,0.318,0.514,0.854,1.143,1.564,3.583,8.907,14.909,0.845
15,23.600,1.668,0.864,1.151,1.395,1.868,2.185,2.977,5.832,8.591,0.600
20,25.400,1.236,0.332,0.986,1.163,1.576,1.842,1.962,2.096,4.476,0.809
25,24.400,2.033,0.468,0.984,1.142,1.262,1.757,3.553,19.088,62.698,0.492
30,25.000,1.214,0.347,0.948,1.105,1.591,1.789,1.851,2.077,3.540,0.824
35,23.400,2.800,0.250,0.420,0.879,1.042,1.480,18.929,41.658,65.380,0.357
40,23.600,3.524,0.313,0.975,1.056,1.091,1.141,17.022,73.170,73.452,0.284
45,23.400,2.598,0.262,0.585,0.906,1.024,1.706,6.043,51.273,62.054,0.385
50,24.000,5.410,0.260,0.470,0.954,1.077,19.592,50.059,66.046,71.065,0.185
55,27.200,3.142,0.285,0.437,0.894,1.023,2.175,16.613,56.024,74.275,0.318
