Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,15.800,1.658,0.475,0.716,1.067,1.402,1.725,2.120,39.940,39.940,0.603
5,12.400,0.928,0.344,0.576,0.894,1.228,1.430,1.516,1.921,1.921,1.077
10,15.200,1.253,0.321,0.486,0.692,1.202,1.450,2.052,29.036,29.036,0.798
15,15.600,1.399,0.982,1.092,1.267,1.668,2.026,2.156,2.419,2.419,0.715
20,13.600,1.215,0.404,0.978,1.158,1.555,1.856,1.936,2.109,2.109,0.823
25,17.200,1.605,0.744,1.010,1.171,1.497,1.675,1.802,30.775,30.775,0.623
30,14.200,1.194,0.373,0.952,1.135,1.561,1.732,1.763,1.904,1.904,0.837
35,15.800,2.559,0.314,0.442,0.820,1.060,1.305,14.677,52.297,52.297,0.391
40,17.200,2.786,0.292,0.973,1.049,1.085,1.150,1.177,76.075,76.075,0.359
45,16.200,0.770,0.279,0.493,0.860,0.976,1.057,1.105,1.219,1.219,1.299
50,12.400,3.105,0.281,0.538,1.000,1.068,1.147,16.508,56.525,56.525,0.322
55,16.800,6.657,0.267,0.496,0.876,1.050,22.398,50.356,83.544,83.544,0.150
