Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,100.200,0.844,0.279,0.716,0.860,0.940,1.022,1.124,2.048,4.908,1.184
5,99.800,0.805,0.254,0.670,0.871,0.938,1.036,1.148,1.562,2.777,1.242
10,100.000,0.946,0.504,0.857,0.913,0.984,1.152,1.295,1.728,5.006,1.057
15,100.200,0.888,0.272,0.797,0.902,0.961,1.061,1.317,1.850,3.223,1.127
20,99.800,0.959,0.478,0.863,0.928,1.016,1.170,1.293,1.945,3.349,1.043
25,100.200,0.893,0.345,0.836,0.901,0.965,1.057,1.175,1.444,2.178,1.120
30,100.000,0.870,0.415,0.799,0.879,0.942,1.046,1.224,1.534,2.699,1.149
35,99.800,0.786,0.255,0.693,0.852,0.908,0.961,1.039,1.233,2.407,1.272
40,100.200,0.902,0.367,0.822,0.876,0.939,1.083,1.222,1.763,6.526,1.109
45,99.800,0.994,0.314,0.828,0.909,1.018,1.174,1.331,3.701,14.856,1.006
50,100.000,0.850,0.273,0.704,0.871,0.985,1.172,1.281,1.540,3.448,1.177
55,100.000,0.885,0.263,0.825,0.886,0.946,1.092,1.179,1.582,3.537,1.130
