Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
6,WriteCheck,1774935261.272912,943,6,1
5,TransactSavings,1774935261.283807,1515,4,1
2,Balance,1774935261.292820,1252,7,1
6,WriteCheck,1774935261.303789,868,3,1
5,TransactSavings,1774935261.312752,1280,11,1
3,DepositChecking,1774935261.323756,695,1,1
3,DepositChecking,1774935261.334765,610,5,1
6,WriteCheck,1774935261.342790,631,9,1
1,Amalgamate,1774935261.354977,687,0,1
3,DepositChecking,1774935261.362797,652,8,1
3,DepositChecking,1774935261.373247,666,13,1
1,Amalgamate,1774935261.383809,663,12,1
3,DepositChecking,1774935261.392749,1009,15,1
4,SendPayment,1774935261.404974,636,10,1
4,SendPayment,1774935261.414422,804,14,1
3,DepositChecking,1774935261.424598,999,16,1
4,SendPayment,1774935261.434550,763,18,1
5,TransactSavings,1774935261.444565,810,17,1
2,Balance,1774935261.454559,793,19,1
3,DepositChecking,1774935261.464559,836,2,1
4,SendPayment,1774935261.473807,923,6,1
4,SendPayment,1774935261.484757,436,4,1
4,SendPayment,1774935261.494485,497,7,1
4,SendPayment,1774935261.502789,501,3,1
1,Amalgamate,1774935261.514811,871,11,1
1,Amalgamate,1774935261.523828,315,1,1
3,DepositChecking,1774935261.533224,857,5,1
3,DepositChecking,1774935261.544853,837,9,1
1,Amalgamate,1774935261.554453,933,0,1
5,TransactSavings,1774935261.564556,487,8,1
5,TransactSavings,1774935261.573759,571,13,1
2,Balance,1774935261.583761,542,12,1
3,DepositChecking,1774935261.594764,549,15,1
1,Amalgamate,1774935261.604534,317,10,1
6,WriteCheck,1774935261.614582,900,14,1
2,Balance,1774935261.624550,390,16,1
3,DepositChecking,1774935261.634523,388,18,1
1,Amalgamate,1774935261.644527,417,17,1
5,TransactSavings,1774935261.654558,396,19,1
1,Amalgamate,1774935261.664549,439,2,1
4,SendPayment,1774935261.674553,477,6,1
4,SendPayment,1774935261.684557,836,4,1
4,SendPayment,1774935261.693178,1113,7,1
5,TransactSavings,1774935261.702796,429,3,1
3,DepositChecking,1774935261.712821,472,11,1
3,DepositChecking,1774935261.722824,1002,1,1
5,TransactSavings,1774935261.732809,384,5,1
6,WriteCheck,1774935261.742789,494,9,1
5,TransactSavings,1774935261.754967,475,0,1
2,Balance,1774935261.764457,1085,8,1
3,DepositChecking,1774935261.774581,814,13,1
6,WriteCheck,1774935261.783830,928,12,1
4,SendPayment,1774935261.794754,550,15,1
4,SendPayment,1774935261.804515,524,10,1
5,TransactSavings,1774935261.814572,543,14,1
3,DepositChecking,1774935261.823824,348,16,1
6,WriteCheck,1774935261.833806,897,18,1
6,WriteCheck,1774935261.842836,994,17,1
5,TransactSavings,1774935261.854967,489,19,1
4,SendPayment,1774935261.864464,477,2,1
4,SendPayment,1774935261.874589,474,6,1
4,SendPayment,1774935261.884530,471,4,1
3,DepositChecking,1774935261.894569,441,7,1
5,TransactSavings,1774935261.904555,1087,3,1
4,SendPayment,1774935261.914570,466,11,1
1,Amalgamate,1774935261.924559,427,1,1
3,DepositChecking,1774935261.934560,497,5,1
4,SendPayment,1774935261.943807,441,9,1
1,Amalgamate,1774935261.954756,486,0,1
6,WriteCheck,1774935261.964521,440,8,1
5,TransactSavings,1774935261.972796,507,13,1
6,WriteCheck,1774935261.982798,520,12,1
4,SendPayment,1774935261.992755,1139,15,1
4,SendPayment,1774935262.004980,527,10,1
6,WriteCheck,1774935262.012794,486,14,1
5,TransactSavings,1774935262.023763,415,16,1
