Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,15.000,1.243,0.299,0.579,0.898,1.050,1.193,1.863,27.374,27.374,0.804
5,15.200,0.949,0.343,0.849,0.911,1.059,1.176,1.456,3.610,3.610,1.054
10,16.400,0.945,0.277,0.821,0.909,0.995,1.046,1.125,4.226,4.226,1.059
15,16.000,0.952,0.720,0.901,0.947,0.996,1.080,1.123,1.148,1.148,1.051
20,16.800,1.196,0.421,0.977,1.156,1.342,1.529,1.619,4.275,4.275,0.836
25,16.000,0.954,0.663,0.843,0.951,1.030,1.160,1.233,2.218,2.218,1.048
30,15.200,0.927,0.486,0.880,0.935,0.983,1.090,1.159,1.237,1.237,1.079
35,17.800,0.788,0.294,0.548,0.801,0.909,1.002,1.023,3.793,3.793,1.269
40,12.800,11.671,0.316,0.917,3.163,13.978,23.104,28.354,168.446,168.446,0.086
45,15.600,5.806,0.401,0.780,1.099,2.735,16.952,34.691,67.644,67.644,0.172
50,15.600,1.876,0.292,0.480,0.802,1.134,5.395,9.016,25.130,25.130,0.533
55,12.000,0.801,0.267,0.418,0.527,0.828,1.286,2.537,6.718,6.718,1.248
