Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,14.000,0.786,0.341,0.490,0.621,0.960,1.113,1.681,3.816,3.816,1.272
5,15.200,1.044,0.342,0.524,0.893,1.043,1.351,1.629,15.623,15.623,0.958
10,14.400,0.961,0.293,0.902,0.978,1.047,1.154,1.254,1.966,1.966,1.041
15,13.600,0.892,0.334,0.851,0.962,1.021,1.144,1.218,1.260,1.260,1.122
20,15.400,0.977,0.676,0.942,1.002,1.040,1.086,1.134,1.157,1.157,1.024
25,13.000,0.916,0.347,0.888,0.959,1.018,1.049,1.114,1.244,1.244,1.092
30,15.600,0.929,0.433,0.880,0.976,1.014,1.085,1.175,1.209,1.209,1.076
35,13.200,0.911,0.318,0.837,0.949,1.013,1.188,1.331,1.498,1.498,1.097
40,16.000,0.860,0.256,0.746,0.900,0.974,1.027,1.110,4.872,4.872,1.163
45,14.400,0.945,0.614,0.874,0.965,1.017,1.090,1.123,1.303,1.303,1.058
50,14.600,0.757,0.257,0.504,0.871,0.947,1.004,1.037,1.207,1.207,1.321
55,15.200,0.810,0.263,0.612,0.885,0.951,1.035,1.102,2.367,2.367,1.235
