Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,25.000,0.837,0.341,0.739,0.879,0.952,1.019,1.129,1.316,2.048,1.195
5,27.200,0.811,0.291,0.684,0.874,0.934,1.034,1.200,1.562,1.685,1.233
10,25.600,0.964,0.603,0.860,0.925,0.978,1.170,1.338,1.679,5.006,1.038
15,22.600,0.899,0.326,0.794,0.913,0.976,1.038,1.317,1.694,2.242,1.112
20,23.800,0.939,0.523,0.863,0.926,1.015,1.119,1.240,1.453,1.689,1.065
25,25.400,0.904,0.385,0.847,0.917,0.975,1.035,1.293,1.391,1.488,1.107
30,25.800,0.880,0.415,0.831,0.896,0.941,1.075,1.188,1.555,1.640,1.136
35,24.000,0.794,0.326,0.694,0.865,0.910,0.963,1.020,1.220,2.407,1.259
40,25.000,0.881,0.374,0.818,0.877,0.934,1.081,1.148,1.706,1.790,1.135
45,24.600,1.028,0.354,0.858,0.917,1.004,1.155,1.502,5.000,7.366,0.973
50,23.800,0.796,0.293,0.659,0.868,0.943,1.102,1.172,1.281,1.336,1.256
55,25.000,0.899,0.317,0.835,0.897,0.946,1.092,1.148,1.355,3.460,1.112
