Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,293.200,0.482,0.207,0.287,0.310,0.357,0.502,0.943,2.378,60.106,2.076
5,299.600,0.282,0.192,0.267,0.283,0.295,0.308,0.320,0.427,1.056,3.545
10,301.800,0.290,0.193,0.284,0.291,0.298,0.306,0.311,0.339,1.953,3.446
15,307.800,0.290,0.192,0.282,0.290,0.298,0.306,0.311,0.335,1.587,3.451
20,304.800,0.309,0.189,0.286,0.293,0.302,0.307,0.315,0.646,3.824,3.234
25,311.400,0.293,0.210,0.286,0.293,0.302,0.307,0.311,0.331,2.479,3.408
30,300.200,0.287,0.199,0.281,0.290,0.299,0.306,0.310,0.321,1.658,3.480
35,306.400,0.293,0.194,0.285,0.293,0.301,0.307,0.311,0.337,1.942,3.416
40,313.800,0.361,0.173,0.283,0.293,0.302,0.310,0.326,0.918,28.540,2.771
45,296.000,0.296,0.206,0.288,0.294,0.300,0.306,0.310,0.336,3.721,3.380
50,296.600,0.342,0.205,0.285,0.293,0.303,0.313,0.377,1.966,7.631,2.928
55,291.800,0.297,0.203,0.286,0.294,0.302,0.308,0.317,0.564,2.279,3.366
