Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,100.000,1.390,0.389,0.713,0.925,1.338,1.715,1.925,11.706,51.218,0.720
5,100.000,0.949,0.344,0.568,0.841,1.223,1.429,1.617,3.340,5.832,1.054
10,100.200,1.431,0.298,0.487,0.728,1.133,1.409,2.021,29.036,62.621,0.699
15,100.000,1.585,0.864,1.112,1.343,1.812,2.090,2.468,5.832,16.629,0.631
20,100.000,1.229,0.329,0.995,1.134,1.517,1.842,1.947,2.155,4.476,0.813
25,100.000,2.045,0.382,1.004,1.152,1.334,1.725,1.890,44.628,86.399,0.489
30,100.000,1.224,0.344,0.951,1.076,1.561,1.747,1.830,3.051,12.040,0.817
35,99.800,2.760,0.250,0.451,0.877,1.067,1.386,17.739,51.819,70.956,0.362
40,100.200,3.168,0.263,0.944,1.051,1.101,1.178,11.569,70.554,76.075,0.316
45,100.000,2.021,0.262,0.554,0.882,0.983,1.126,2.210,51.273,70.644,0.495
50,99.800,4.354,0.260,0.444,0.947,1.077,2.337,40.073,68.030,91.984,0.230
55,100.200,5.925,0.251,0.437,0.879,1.023,20.656,42.438,74.571,108.075,0.169
