Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,14.400,0.548,0.258,0.383,0.479,0.639,0.897,1.128,1.515,1.515,1.826
5,17.200,1.299,0.260,0.401,0.563,0.794,0.985,3.792,35.546,35.546,0.770
10,15.000,0.869,0.306,0.410,0.630,0.852,0.991,1.167,10.959,10.959,1.151
15,13.000,0.588,0.251,0.423,0.547,0.765,0.890,0.979,1.479,1.479,1.702
20,15.400,0.830,0.281,0.439,0.634,0.845,0.927,1.036,10.654,10.654,1.204
25,18.800,0.734,0.280,0.375,0.499,0.794,0.928,1.107,13.167,13.167,1.363
30,13.800,0.602,0.239,0.395,0.512,0.780,0.851,0.931,2.776,2.776,1.660
35,13.400,0.492,0.252,0.356,0.426,0.561,0.832,0.887,1.091,1.091,2.032
40,16.800,0.640,0.255,0.379,0.482,0.718,0.897,0.928,6.388,6.388,1.562
45,13.000,2.045,0.325,0.736,0.873,1.152,1.356,1.515,43.714,43.714,0.489
50,12.000,1.044,0.640,0.740,0.885,1.210,1.263,1.382,6.097,6.097,0.958
55,16.400,0.896,0.464,0.740,0.810,1.018,1.216,1.292,1.711,1.711,1.116
