Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,291.400,0.423,0.208,0.289,0.312,0.357,0.558,1.033,2.641,8.441,2.361
5,301.400,0.286,0.191,0.270,0.286,0.297,0.310,0.323,0.487,2.228,3.494
10,293.200,0.290,0.196,0.287,0.294,0.302,0.308,0.312,0.330,0.981,3.446
15,300.800,0.295,0.193,0.285,0.293,0.302,0.309,0.313,0.425,2.372,3.387
20,298.400,0.304,0.199,0.288,0.296,0.304,0.310,0.316,0.560,2.874,3.285
25,304.000,0.293,0.202,0.288,0.295,0.303,0.308,0.312,0.330,0.670,3.415
30,305.400,0.292,0.205,0.284,0.292,0.301,0.307,0.312,0.350,1.317,3.429
35,305.200,0.295,0.194,0.287,0.295,0.303,0.309,0.315,0.346,1.814,3.394
40,297.800,0.346,0.195,0.287,0.295,0.305,0.313,0.333,1.813,13.756,2.889
45,305.000,0.301,0.209,0.291,0.296,0.304,0.309,0.314,0.335,3.721,3.320
50,301.000,0.354,0.195,0.287,0.295,0.305,0.317,0.394,1.988,11.152,2.827
55,308.800,0.300,0.207,0.287,0.295,0.304,0.310,0.316,0.521,1.877,3.336
