Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,2000.000,0.425,0.207,0.290,0.313,0.359,0.536,0.906,2.373,60.106,2.350
5,2000.200,0.285,0.191,0.269,0.286,0.298,0.311,0.322,0.408,3.555,3.509
10,2000.000,0.291,0.192,0.287,0.294,0.302,0.308,0.312,0.335,2.176,3.432
15,2000.000,0.296,0.192,0.285,0.293,0.303,0.309,0.314,0.414,3.065,3.373
20,2000.000,0.309,0.189,0.288,0.296,0.305,0.310,0.317,0.626,7.699,3.240
25,2000.000,0.295,0.200,0.288,0.296,0.304,0.309,0.313,0.335,2.543,3.390
30,2000.000,0.292,0.194,0.285,0.293,0.302,0.309,0.313,0.339,1.750,3.430
35,2000.000,0.295,0.194,0.288,0.296,0.304,0.310,0.315,0.345,2.271,3.391
40,2000.000,0.359,0.173,0.287,0.296,0.305,0.313,0.334,1.553,36.270,2.785
45,2000.000,0.300,0.204,0.291,0.296,0.304,0.310,0.314,0.347,3.996,3.339
50,2000.000,0.349,0.192,0.287,0.296,0.306,0.316,0.400,1.922,11.152,2.863
55,2000.000,0.302,0.196,0.288,0.296,0.305,0.311,0.317,0.564,7.907,3.315
