Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,14.400,0.793,0.266,0.526,0.834,0.988,1.159,1.326,1.606,1.606,1.261
5,15.200,0.625,0.288,0.420,0.527,0.798,0.996,1.197,1.327,1.327,1.601
10,15.600,0.786,0.287,0.504,0.882,0.980,1.083,1.153,2.058,2.058,1.272
15,17.400,0.887,0.296,0.853,0.918,0.991,1.049,1.112,1.253,1.253,1.127
20,15.000,0.923,0.531,0.865,0.930,0.997,1.084,1.163,1.252,1.252,1.084
25,11.600,0.888,0.515,0.860,0.902,0.924,0.956,1.007,1.135,1.135,1.126
30,15.800,0.871,0.452,0.825,0.885,0.937,1.004,1.067,2.088,2.088,1.147
35,16.600,1.098,0.354,0.852,0.887,0.933,1.012,1.126,9.905,9.905,0.910
40,15.200,0.850,0.322,0.813,0.874,0.908,1.055,1.138,1.519,1.519,1.176
45,16.000,0.914,0.648,0.861,0.887,0.966,1.071,1.127,1.150,1.150,1.094
50,17.000,0.777,0.295,0.553,0.849,0.912,0.944,0.985,3.154,3.154,1.288
55,15.000,0.856,0.345,0.825,0.863,0.926,0.986,1.020,1.130,1.130,1.168
