Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,12.400,0.753,0.309,0.612,0.810,0.900,0.975,1.016,1.228,1.228,1.328
5,14.000,0.817,0.183,0.809,0.859,0.921,1.041,1.102,1.292,1.292,1.224
10,16.800,0.934,0.293,0.859,0.921,1.086,1.156,1.215,1.306,1.306,1.071
15,15.800,0.927,0.430,0.842,0.898,0.958,1.075,1.212,2.917,2.917,1.079
20,15.400,0.804,0.242,0.679,0.859,0.925,0.987,1.129,1.550,1.550,1.244
25,11.400,0.960,0.427,0.847,0.905,0.976,1.024,1.117,4.797,4.797,1.041
30,17.400,0.892,0.486,0.837,0.892,0.955,1.073,1.104,1.282,1.282,1.121
35,16.200,0.837,0.211,0.804,0.881,0.958,1.033,1.040,1.274,1.274,1.195
40,15.000,0.868,0.257,0.827,0.881,0.946,1.026,1.132,1.449,1.449,1.152
45,12.400,0.699,0.202,0.373,0.563,0.850,1.024,1.166,4.037,4.037,1.430
50,15.800,0.609,0.218,0.328,0.412,0.761,1.283,1.416,3.833,3.833,1.643
55,15.000,0.617,0.217,0.346,0.467,0.801,1.088,1.208,2.644,2.644,1.620
