Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,16.400,1.549,0.478,0.795,1.039,1.451,1.802,2.134,30.743,30.743,0.646
5,17.200,0.960,0.352,0.609,0.949,1.273,1.438,1.546,1.972,1.972,1.042
10,17.000,2.515,0.393,0.478,0.824,1.151,1.387,1.988,62.621,62.621,0.398
15,14.200,1.469,0.945,1.105,1.242,1.653,1.951,2.758,4.581,4.581,0.681
20,15.200,1.200,0.436,0.977,1.112,1.493,1.932,1.969,2.150,2.150,0.833
25,16.600,1.944,0.382,1.005,1.141,1.265,1.693,1.797,62.008,62.008,0.514
30,15.400,1.203,0.385,0.941,1.015,1.479,1.797,1.818,4.246,4.246,0.831
35,16.800,2.536,0.314,0.526,0.881,1.043,1.189,2.831,69.157,69.157,0.394
40,16.000,3.158,0.274,0.642,1.029,1.090,1.201,22.071,74.363,74.363,0.317
45,15.200,1.117,0.322,0.470,0.788,0.930,1.055,1.803,25.087,25.087,0.896
50,13.000,4.196,0.340,0.437,0.913,1.069,1.218,44.728,59.427,59.427,0.238
55,11.400,6.677,0.251,0.417,0.871,1.031,27.307,54.872,73.004,73.004,0.150
