Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,14.800,0.551,0.283,0.398,0.479,0.689,0.889,0.956,1.069,1.069,1.816
5,15.000,1.139,0.269,0.386,0.479,0.913,1.120,8.803,13.078,13.078,0.878
10,15.200,0.851,0.251,0.368,0.406,0.668,1.160,2.702,16.401,16.401,1.176
15,14.400,0.806,0.324,0.465,0.700,0.918,1.076,1.150,8.172,8.172,1.241
20,14.200,0.861,0.273,0.480,0.716,0.891,1.046,1.136,12.063,12.063,1.161
25,15.800,0.616,0.266,0.372,0.435,0.519,0.853,1.325,9.439,9.439,1.623
30,15.000,0.729,0.266,0.367,0.424,0.505,0.780,1.026,16.321,16.321,1.371
35,13.200,0.840,0.365,0.644,0.870,0.954,1.087,1.209,1.466,1.466,1.190
40,15.600,0.796,0.265,0.398,0.632,0.858,1.145,1.659,7.940,7.940,1.256
45,16.200,0.686,0.231,0.356,0.450,0.809,1.151,1.247,4.757,4.757,1.457
50,14.400,0.544,0.279,0.345,0.438,0.666,0.930,1.015,1.559,1.559,1.837
55,14.400,1.008,0.271,0.369,0.481,0.759,0.891,1.081,18.821,18.821,0.992
