Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,27.000,1.039,0.293,0.608,0.888,1.057,1.156,1.170,5.971,23.260,0.962
5,24.000,0.875,0.329,0.796,0.905,1.007,1.118,1.183,1.242,1.264,1.143
10,22.400,0.878,0.251,0.855,0.921,0.988,1.044,1.087,1.209,1.751,1.139
15,24.600,0.960,0.599,0.909,0.967,1.021,1.091,1.142,1.226,1.299,1.042
20,23.400,1.299,0.452,1.040,1.203,1.347,1.610,1.768,4.125,8.482,0.770
25,28.800,0.959,0.435,0.878,0.952,1.031,1.115,1.267,1.597,2.103,1.043
30,26.800,0.917,0.502,0.868,0.924,0.989,1.039,1.078,1.198,1.310,1.091
35,21.800,0.676,0.298,0.439,0.685,0.908,0.979,1.010,1.045,1.206,1.478
40,24.600,10.452,0.300,0.653,1.651,8.597,26.378,55.991,124.013,172.189,0.096
45,23.200,4.747,0.403,0.794,1.020,1.850,13.312,33.175,52.608,69.743,0.211
50,22.800,2.341,0.268,0.456,0.670,1.023,2.266,15.560,32.000,42.684,0.427
55,28.400,0.596,0.255,0.391,0.467,0.603,0.869,1.059,2.375,7.561,1.679
