Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,15.400,0.828,0.270,0.415,0.474,0.561,0.845,2.769,16.406,16.406,1.208
5,14.200,0.656,0.310,0.398,0.485,0.843,0.957,1.104,3.199,3.199,1.525
10,13.000,0.955,0.253,0.360,0.402,0.486,1.013,1.340,26.572,26.572,1.047
15,15.200,0.736,0.255,0.496,0.680,0.923,1.157,1.218,2.170,2.170,1.359
20,15.800,0.741,0.247,0.440,0.746,0.895,1.088,1.310,3.078,3.078,1.349
25,15.600,0.585,0.291,0.374,0.435,0.532,0.770,1.096,7.539,7.539,1.710
30,18.200,0.485,0.314,0.385,0.431,0.501,0.663,0.815,1.845,1.845,2.064
35,15.200,0.977,0.393,0.738,0.874,1.014,1.172,1.564,6.660,6.660,1.023
40,14.400,1.581,0.302,0.378,0.501,0.780,0.996,2.619,63.263,63.263,0.632
45,12.600,0.543,0.265,0.346,0.429,0.685,0.900,0.988,1.390,1.390,1.843
50,13.000,0.531,0.276,0.333,0.383,0.654,0.868,1.003,2.225,2.225,1.882
55,17.400,0.602,0.285,0.365,0.457,0.839,0.976,1.118,1.998,1.998,1.662
