Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,18.600,0.575,0.291,0.396,0.470,0.668,0.837,0.999,3.872,3.872,1.741
5,13.800,0.832,0.257,0.408,0.511,0.772,0.909,1.121,15.345,15.345,1.202
10,14.600,0.630,0.264,0.414,0.581,0.855,0.936,1.011,1.225,1.225,1.588
15,14.200,0.680,0.255,0.372,0.435,0.705,0.982,1.389,6.783,6.783,1.470
20,14.000,0.598,0.291,0.422,0.545,0.837,0.876,0.902,1.105,1.105,1.673
25,16.800,0.668,0.268,0.406,0.508,0.794,0.897,1.006,7.741,7.741,1.498
30,16.800,0.547,0.264,0.378,0.484,0.672,0.846,0.903,1.294,1.294,1.830
35,17.400,0.688,0.282,0.360,0.411,0.686,0.849,1.182,11.006,11.006,1.453
40,14.600,0.587,0.250,0.400,0.502,0.826,0.883,1.002,1.405,1.405,1.704
45,12.800,0.900,0.257,0.692,0.779,1.098,1.285,1.345,2.481,2.481,1.112
50,15.400,1.042,0.607,0.752,0.864,1.178,1.338,1.525,5.210,5.210,0.960
55,17.800,1.089,0.626,0.756,0.900,1.178,1.325,1.560,7.798,7.798,0.918
