Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,16.000,0.852,0.359,0.729,0.844,0.936,1.128,1.187,2.588,2.588,1.174
5,15.600,0.840,0.257,0.809,0.851,0.907,0.954,1.024,2.188,2.188,1.190
10,13.000,0.943,0.325,0.849,0.902,1.042,1.150,1.166,2.132,2.132,1.061
15,13.200,0.879,0.430,0.817,0.889,0.961,1.078,1.186,1.265,1.265,1.137
20,14.400,0.815,0.273,0.800,0.864,0.923,0.987,1.028,1.103,1.103,1.227
25,17.600,0.878,0.308,0.839,0.878,0.955,1.054,1.110,1.233,1.233,1.139
30,15.800,0.912,0.337,0.816,0.882,0.928,0.978,1.055,5.556,5.556,1.096
35,16.200,0.867,0.287,0.792,0.860,0.933,0.962,1.012,5.601,5.601,1.153
40,16.200,0.839,0.345,0.756,0.862,0.944,1.018,1.077,1.639,1.639,1.192
45,13.600,0.877,0.224,0.399,0.694,0.983,1.389,1.961,8.038,8.038,1.140
50,15.800,0.825,0.214,0.346,0.424,0.728,1.311,2.119,14.403,14.403,1.212
55,13.800,0.704,0.260,0.368,0.514,0.962,1.190,1.324,3.127,3.127,1.420
