Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,101,101.000,731,981,1242,2672,1498,1768,5627,39883,48026
1,100,100.000,758,987,1277,1381,1698,2089,2550,3386,3386
2,100,100.000,551,774,1255,1255,1653,1857,1943,3037,3037
3,100,100.000,497,774,1050,1097,1440,1565,1700,2091,2091
4,100,100.000,415,961,1355,1240,1494,1632,1754,3209,3209
5,100,100.000,521,673,1027,1066,1378,1536,1584,3498,3498
6,100,100.000,520,840,1151,1172,1466,1636,1763,4025,4025
7,100,100.000,346,607,1090,1338,1356,1804,3825,15523,15523
8,100,100.000,513,1177,1300,2153,1553,1896,3261,48906,48906
9,100,100.000,350,590,1192,2152,1419,1521,2313,43835,43835
10,100,100.000,323,455,541,2418,1452,1589,10853,40636,40636
11,100,100.000,320,517,1039,1132,1346,1634,1975,11898,11898
12,100,100.000,359,563,1111,2092,1336,1456,5046,48183,48183
13,100,100.000,359,621,1205,1404,1361,1463,1578,23178,23178
14,100,100.000,298,714,1215,1527,1336,1457,1751,28908,28908
15,100,100.000,338,607,1051,1602,1312,1376,1447,36902,36902
16,100,100.000,292,507,1143,1183,1264,1325,1398,15614,15614
17,100,100.000,269,414,972,1359,1249,1305,1342,26818,26818
18,100,100.000,270,379,946,809,1214,1291,1335,2465,2465
19,100,100.000,274,647,1059,1389,1181,1275,1299,39773,39773
20,100,100.000,270,605,1015,1459,1169,1235,1282,40396,40396
21,100,100.000,274,438,874,1292,1157,1234,1284,32258,32258
22,100,100.000,302,574,1099,1753,1197,1290,1771,37930,37930
23,100,100.000,342,633,1088,1790,1183,1274,1420,39902,39902
24,100,100.000,351,582,1076,1443,1173,1228,1269,34876,34876
25,100,100.000,302,424,1114,1631,1185,1249,1397,34729,34729
26,100,100.000,288,501,1048,1552,1171,1263,1533,29254,29254
27,100,100.000,274,388,544,2151,1155,2467,12933,37449,37449
28,100,100.000,258,387,1033,1415,1123,1182,1208,32484,32484
29,100,100.000,254,628,1025,1587,1122,1190,1622,40893,40893
30,100,100.000,336,577,1028,1524,1147,1233,3940,34634,34634
31,100,100.000,289,609,1020,1722,1106,1181,1215,43753,43753
32,100,100.000,258,565,998,1862,1117,1459,5992,34469,34469
33,100,100.000,395,692,1078,3244,1319,8936,20784,51287,51287
34,100,100.000,350,554,1116,3334,1926,11465,19829,34105,34105
35,100,100.000,267,897,1109,1881,1171,1230,2362,56559,56559
36,100,100.000,302,528,1016,2173,1114,1200,11294,49488,49488
37,100,100.000,338,673,1063,2132,1169,2494,6796,38458,38458
38,100,100.000,271,407,1050,1761,1154,1292,1832,89735,89735
39,100,100.000,261,706,1031,2134,1114,1512,6555,39758,39758
40,100,100.000,327,871,1034,2398,1116,1685,7676,50417,50417
41,100,100.000,526,943,1128,1925,1440,1681,1779,40341,40341
42,100,100.000,317,895,1018,2260,1423,1734,8681,56487,56487
43,100,100.000,318,844,1061,6756,1617,33752,56785,81849,81849
44,100,100.000,276,775,1061,2858,1221,2078,22637,46518,46518
45,100,100.000,318,665,1078,2671,1244,1948,17890,42730,42730
46,100,100.000,283,529,1000,2703,1111,1600,17939,58330,58330
47,100,100.000,320,664,1004,2520,1108,1511,16056,53530,53530
48,100,100.000,307,593,971,2747,1092,1714,12151,48217,48217
49,100,100.000,319,714,1023,3043,1401,3070,15469,56409,56409
50,100,100.000,469,908,1038,3608,1512,4652,17283,59785,59785
51,100,100.000,274,756,1022,2420,1133,1633,17856,46047,46047
52,100,100.000,317,519,1024,2624,1155,1678,20145,51534,51534
53,100,100.000,312,913,1050,2592,1142,1525,1651,68021,68021
54,100,100.000,390,847,1025,3566,1226,1883,20784,75188,75188
55,100,100.000,334,849,1003,2694,1183,1622,27056,35281,35281
56,100,100.000,811,898,993,1138,1315,1561,1599,5188,5188
57,100,100.000,587,860,954,3387,1221,1607,25141,55406,55406
58,100,100.000,335,801,961,3001,1106,1970,14744,68349,68349
59,100,100.000,335,803,1020,3455,1285,1854,28503,51243,51243
