Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,14.800,0.912,0.242,0.613,0.842,0.974,1.116,1.165,10.475,10.475,1.096
5,14.200,0.961,0.350,0.862,0.923,1.016,1.218,1.428,2.580,2.580,1.041
10,17.000,0.870,0.331,0.839,0.899,0.962,1.071,1.100,1.741,1.741,1.150
15,16.000,0.941,0.584,0.874,0.920,1.004,1.080,1.309,1.395,1.395,1.063
20,12.600,1.210,0.529,0.967,1.126,1.287,1.735,1.803,3.771,3.771,0.826
25,13.200,0.961,0.487,0.889,0.937,1.037,1.140,1.202,1.670,1.670,1.041
30,14.400,0.902,0.600,0.852,0.893,0.959,1.016,1.110,1.694,1.694,1.109
35,16.600,0.712,0.282,0.479,0.705,0.900,0.986,1.008,1.961,1.961,1.404
40,15.200,8.342,0.340,0.681,1.537,8.755,24.780,47.051,65.140,65.140,0.120
45,14.400,4.046,0.453,0.765,0.917,1.706,10.454,25.937,53.496,53.496,0.247
50,17.000,1.998,0.285,0.456,0.715,1.015,1.650,7.807,62.476,62.476,0.501
55,15.800,0.740,0.302,0.428,0.484,0.738,1.258,1.964,7.041,7.041,1.352
