Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Balance,1774490046.915540,729,0,1
4,SendPayment,1774490046.925305,749,1,1
3,DepositChecking,1774490046.935330,701,4,1
3,DepositChecking,1774490046.945488,619,6,1
2,Balance,1774490046.955375,504,5,1
1,Amalgamate,1774490046.966206,457,7,1
5,TransactSavings,1774490046.976744,494,3,1
6,WriteCheck,1774490046.986619,606,9,1
6,WriteCheck,1774490046.996257,490,11,1
4,SendPayment,1774490047.006730,439,10,1
1,Amalgamate,1774490047.016144,548,8,1
3,DepositChecking,1774490047.025288,563,12,1
4,SendPayment,1774490047.035372,533,13,1
4,SendPayment,1774490047.045342,420,14,1
5,TransactSavings,1774490047.055340,510,16,1
6,WriteCheck,1774490047.066397,446,15,1
5,TransactSavings,1774490047.076706,390,19,1
6,WriteCheck,1774490047.085457,627,18,1
3,DepositChecking,1774490047.095606,616,17,1
5,TransactSavings,1774490047.105404,287,2,1
5,TransactSavings,1774490047.116462,526,0,1
5,TransactSavings,1774490047.124888,731,1,1
4,SendPayment,1774490047.135282,440,4,1
4,SendPayment,1774490047.145348,741,6,1
5,TransactSavings,1774490047.156375,749,5,1
3,DepositChecking,1774490047.166023,433,7,1
4,SendPayment,1774490047.176799,669,3,1
2,Balance,1774490047.185450,381,9,1
3,DepositChecking,1774490047.195406,375,11,1
2,Balance,1774490047.205308,585,10,1
3,DepositChecking,1774490047.216248,525,8,1
1,Amalgamate,1774490047.226735,674,12,1
3,DepositChecking,1774490047.236201,375,13,1
2,Balance,1774490047.245406,988,14,1
6,WriteCheck,1774490047.255296,469,16,1
1,Amalgamate,1774490047.265367,742,15,1
2,Balance,1774490047.275301,755,19,1
2,Balance,1774490047.285357,783,18,1
6,WriteCheck,1774490047.295386,450,17,1
5,TransactSavings,1774490047.305346,461,2,1
1,Amalgamate,1774490047.316438,422,0,1
5,TransactSavings,1774490047.325300,482,1,1
1,Amalgamate,1774490047.336415,815,4,1
4,SendPayment,1774490047.345351,455,6,1
3,DepositChecking,1774490047.355385,401,5,1
1,Amalgamate,1774490047.366292,334,7,1
6,WriteCheck,1774490047.376770,545,3,1
5,TransactSavings,1774490047.386296,527,9,1
1,Amalgamate,1774490047.395368,929,11,1
1,Amalgamate,1774490047.405469,817,10,1
6,WriteCheck,1774490047.416973,612,8,1
6,WriteCheck,1774490047.426600,685,12,1
5,TransactSavings,1774490047.435430,654,13,1
3,DepositChecking,1774490047.445957,607,14,1
3,DepositChecking,1774490047.455158,912,16,1
1,Amalgamate,1774490047.466079,1065,15,1
2,Balance,1774490047.476827,751,19,1
6,WriteCheck,1774490047.485510,1029,18,1
2,Balance,1774490047.495402,989,17,1
5,TransactSavings,1774490047.505348,1916,2,1
5,TransactSavings,1774490047.516513,752,0,1
3,DepositChecking,1774490047.525363,856,1,1
2,Balance,1774490047.535363,917,4,1
4,SendPayment,1774490047.545671,1162,6,1
1,Amalgamate,1774490047.556299,730,5,1
2,Balance,1774490047.566351,1161,7,1
6,WriteCheck,1774490047.576780,475,3,1
2,Balance,1774490047.585346,2055,9,1
4,SendPayment,1774490047.597039,1073,11,1
2,Balance,1774490047.606614,1141,10,1
4,SendPayment,1774490047.616362,1015,8,1
4,SendPayment,1774490047.626797,935,12,1
2,Balance,1774490047.635565,2588,13,1
6,WriteCheck,1774490047.646332,697,14,1
3,DepositChecking,1774490047.655489,2615,16,1
1,Amalgamate,1774490047.666956,700,15,1
4,SendPayment,1774490047.676618,667,19,1
4,SendPayment,1774490047.685336,470,18,1
6,WriteCheck,1774490047.696464,948,17,1
5,TransactSavings,1774490047.706370,524,2,1
6,WriteCheck,1774490047.716315,460,0,1
3,DepositChecking,1774490047.725324,508,1,1
4,SendPayment,1774490047.735314,455,4,1
5,TransactSavings,1774490047.747008,533,6,1
4,SendPayment,1774490047.755389,539,5,1
6,WriteCheck,1774490047.766430,1016,7,1
3,DepositChecking,1774490047.776749,535,3,1
6,WriteCheck,1774490047.785370,657,9,1
3,DepositChecking,1774490047.795305,514,11,1
3,DepositChecking,1774490047.806356,554,10,1
3,DepositChecking,1774490047.816234,553,8,1
6,WriteCheck,1774490047.825361,698,12,1
3,DepositChecking,1774490047.835352,733,13,1
1,Amalgamate,1774490047.847011,1271,14,1
1,Amalgamate,1774490047.856595,613,16,1
2,Balance,1774490047.866694,718,15,1
6,WriteCheck,1774490047.875346,810,19,1
5,TransactSavings,1774490047.885571,891,18,1
1,Amalgamate,1774490047.896957,715,17,1
4,SendPayment,1774490047.906268,482,2,1
2,Balance,1774490047.915328,473,0,1
2,Balance,1774490047.925297,466,1,1
3,DepositChecking,1774490047.935239,322,4,1
3,DepositChecking,1774490047.944859,231,6,1
1,Amalgamate,1774490047.957063,320,5,1
1,Amalgamate,1774490047.966203,325,7,1
1,Amalgamate,1774490047.976759,389,3,1
5,TransactSavings,1774490047.986615,370,9,1
5,TransactSavings,1774490047.995362,237,11,1
1,Amalgamate,1774490048.005365,359,10,1
4,SendPayment,1774490048.016843,392,8,1
6,WriteCheck,1774490048.025362,352,12,1
6,WriteCheck,1774490048.035343,426,13,1
6,WriteCheck,1774490048.045600,457,14,1
4,SendPayment,1774490048.054802,388,16,1
1,Amalgamate,1774490048.066270,330,15,1
1,Amalgamate,1774490048.076756,420,19,1
3,DepositChecking,1774490048.086626,441,18,1
1,Amalgamate,1774490048.096655,463,17,1
3,DepositChecking,1774490048.106640,472,2,1
1,Amalgamate,1774490048.115397,486,0,1
4,SendPayment,1774490048.127038,772,1,1
1,Amalgamate,1774490048.135214,656,4,1
5,TransactSavings,1774490048.146340,690,6,1
3,DepositChecking,1774490048.155362,572,5,1
1,Amalgamate,1774490048.166990,713,7,1
3,DepositChecking,1774490048.176642,609,3,1
6,WriteCheck,1774490048.185405,690,9,1
4,SendPayment,1774490048.196400,643,11,1
6,WriteCheck,1774490048.205325,739,10,1
6,WriteCheck,1774490048.216296,975,8,1
2,Balance,1774490048.226801,919,12,1
1,Amalgamate,1774490048.236672,1120,13,1
6,WriteCheck,1774490048.246703,966,14,1
4,SendPayment,1774490048.256681,950,16,1
4,SendPayment,1774490048.266578,1006,15,1
5,TransactSavings,1774490048.276731,868,19,1
