Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,26.000,2.099,0.464,0.955,1.232,1.551,1.861,2.602,39.883,48.026,0.476
5,23.000,1.171,0.350,0.814,1.224,1.428,1.581,1.701,2.860,3.388,0.854
10,23.800,1.614,0.298,0.527,1.121,1.337,1.512,3.050,20.766,40.592,0.620
15,28.000,1.414,0.270,0.461,1.083,1.268,1.334,1.360,24.329,39.773,0.707
20,27.600,2.022,0.270,0.746,1.086,1.183,1.291,5.703,34.876,40.396,0.495
25,24.200,2.357,0.287,0.431,1.076,1.172,1.302,11.298,32.484,37.449,0.424
30,27.400,2.129,0.289,0.524,1.028,1.163,1.900,6.834,34.634,51.287,0.470
35,21.000,1.570,0.271,0.501,1.052,1.135,1.209,1.775,19.926,33.057,0.637
40,26.200,3.449,0.276,0.875,1.049,1.451,1.734,22.842,56.785,68.662,0.290
45,26.400,2.223,0.320,0.664,1.024,1.129,1.623,7.072,33.216,56.409,0.450
50,24.000,2.268,0.364,0.883,1.035,1.226,1.589,1.701,43.448,75.188,0.441
55,23.000,2.650,0.335,0.853,0.957,1.119,1.538,2.238,49.408,51.243,0.377
