Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,23.800,0.805,0.366,0.753,0.826,0.895,0.959,1.101,1.224,1.253,1.242
5,24.200,0.936,0.266,0.543,0.783,0.878,0.983,1.028,2.323,24.041,1.068
10,24.200,0.766,0.251,0.447,0.753,0.854,0.986,1.083,4.080,5.115,1.305
15,25.600,0.805,0.421,0.729,0.815,0.878,0.949,1.000,1.061,1.729,1.243
20,25.200,0.864,0.377,0.746,0.866,0.948,1.029,1.165,1.755,2.133,1.157
25,28.800,0.808,0.372,0.753,0.825,0.883,0.961,1.001,1.335,1.463,1.237
30,25.800,0.820,0.471,0.760,0.822,0.889,0.969,0.992,1.133,1.852,1.219
35,23.200,0.840,0.363,0.779,0.830,0.872,0.937,1.028,1.154,3.266,1.191
40,23.800,0.596,0.250,0.354,0.472,0.748,0.930,1.037,2.329,4.308,1.677
45,26.400,0.679,0.242,0.425,0.573,0.812,0.888,0.982,4.070,5.279,1.473
50,27.200,0.605,0.222,0.348,0.468,0.821,0.933,1.039,2.660,3.419,1.653
55,24.000,0.570,0.269,0.359,0.495,0.797,0.863,0.900,1.535,2.643,1.753
