Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,14.600,0.604,0.286,0.414,0.486,0.802,0.961,1.052,1.920,1.920,1.655
5,14.200,0.753,0.271,0.372,0.456,0.632,0.929,1.147,9.821,9.821,1.328
10,14.200,0.723,0.267,0.373,0.433,0.567,0.858,1.048,11.863,11.863,1.383
15,14.200,0.700,0.289,0.479,0.705,0.893,1.039,1.099,1.340,1.340,1.429
20,14.800,0.719,0.265,0.467,0.723,0.894,1.055,1.127,2.259,2.259,1.390
25,14.600,0.644,0.280,0.387,0.488,0.710,0.902,1.256,5.203,5.203,1.552
30,14.800,0.536,0.275,0.384,0.420,0.519,0.935,1.000,2.306,2.306,1.866
35,16.400,0.830,0.349,0.713,0.868,0.945,1.025,1.106,1.931,1.931,1.204
40,15.200,0.616,0.230,0.358,0.439,0.691,0.979,1.142,4.363,4.363,1.622
45,15.800,0.565,0.264,0.359,0.446,0.726,0.985,1.206,1.451,1.451,1.769
50,15.800,0.569,0.238,0.343,0.429,0.797,0.986,1.174,1.375,1.375,1.756
55,13.600,0.977,0.237,0.374,0.492,0.868,0.942,1.086,25.311,25.311,1.023
