Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,311.600,0.386,0.213,0.288,0.313,0.360,0.509,0.752,1.535,8.376,2.591
5,301.400,0.283,0.192,0.268,0.284,0.297,0.309,0.320,0.379,1.846,3.532
10,298.800,0.287,0.196,0.284,0.291,0.298,0.305,0.309,0.331,0.603,3.481
15,286.200,0.296,0.194,0.283,0.292,0.300,0.307,0.312,0.419,2.888,3.375
20,305.000,0.310,0.202,0.286,0.293,0.302,0.308,0.313,0.691,7.699,3.226
25,297.400,0.292,0.205,0.286,0.293,0.301,0.306,0.310,0.332,0.701,3.426
30,281.600,0.290,0.200,0.283,0.290,0.299,0.306,0.310,0.346,0.947,3.452
35,296.000,0.291,0.195,0.286,0.293,0.302,0.307,0.313,0.342,0.907,3.433
40,287.600,0.395,0.197,0.285,0.293,0.303,0.311,0.335,1.545,36.270,2.529
45,308.800,0.296,0.208,0.288,0.294,0.300,0.307,0.312,0.344,2.309,3.378
50,300.000,0.343,0.192,0.285,0.294,0.303,0.314,0.425,1.848,8.624,2.913
55,311.600,0.298,0.196,0.285,0.294,0.302,0.308,0.314,0.713,1.747,3.356
