Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,16.000,0.830,0.279,0.708,0.852,0.894,1.016,1.082,2.435,2.435,1.205
5,15.400,0.799,0.287,0.670,0.850,0.923,1.089,1.205,1.303,1.303,1.252
10,12.600,0.906,0.580,0.828,0.881,0.950,1.147,1.239,1.473,1.473,1.104
15,14.000,0.902,0.314,0.791,0.895,0.935,1.078,1.331,3.223,3.223,1.109
20,16.200,0.945,0.571,0.857,0.909,0.996,1.160,1.216,2.905,2.905,1.058
25,15.400,0.875,0.390,0.830,0.892,0.928,0.982,1.086,2.178,2.178,1.143
30,16.400,0.849,0.418,0.742,0.868,0.910,0.980,1.059,1.394,1.394,1.178
35,15.200,0.801,0.255,0.722,0.867,0.910,0.981,1.083,1.319,1.319,1.248
40,14.000,0.864,0.367,0.819,0.860,0.922,1.087,1.264,1.432,1.432,1.158
45,15.800,0.936,0.314,0.829,0.884,1.030,1.184,1.364,2.724,2.724,1.068
50,16.600,0.822,0.290,0.645,0.846,0.985,1.144,1.312,1.401,1.401,1.217
55,13.800,0.910,0.325,0.843,0.884,0.981,1.151,1.269,1.727,1.727,1.099
