Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,100,100.000,265,390,493,593,760,900,1081,1633,1633
1,100,100.000,267,566,849,776,945,1014,1152,1353,1353
2,101,101.000,295,696,847,799,927,1031,1059,1101,1172
3,100,100.000,436,835,901,885,958,1012,1087,1172,1172
4,99,99.000,407,844,914,904,983,1059,1136,1676,1676
5,101,101.000,339,599,861,769,913,990,1012,1056,1095
6,100,100.000,288,673,869,790,931,976,1040,1155,1155
7,99,99.000,355,511,826,806,920,1034,1163,4286,4286
8,101,101.000,377,770,904,886,955,1004,1125,1187,5025
9,99,99.000,621,876,925,925,1000,1040,1127,1165,1165
10,101,101.000,291,613,888,801,949,1022,1044,1115,1662
11,99,99.000,357,883,930,942,996,1085,1261,1811,1811
12,101,101.000,249,352,811,701,941,1013,1042,1369,2761
13,100,100.000,617,879,922,941,976,1064,1165,2960,2960
14,99,99.000,274,382,847,713,937,1015,1057,1896,1896
15,100,100.000,393,871,938,1082,1044,1140,1212,16210,16210
16,100,100.000,622,863,909,931,955,1013,1067,3339,3339
17,100,100.000,386,871,911,910,961,1013,1041,2558,2558
18,101,101.000,465,879,972,975,1067,1258,1367,1480,2036
19,100,100.000,594,890,964,1064,1054,1225,1439,5652,5652
20,100,100.000,516,876,925,1036,1065,1328,1626,4940,4940
21,100,100.000,639,890,963,993,1053,1152,1312,2454,2454
22,99,99.000,420,908,973,981,1062,1165,1308,1635,1635
23,100,100.000,322,858,955,924,1026,1143,1227,1829,1829
24,101,101.000,649,893,931,943,991,1046,1175,1222,1259
25,100,100.000,329,580,883,776,957,1016,1113,1173,1173
26,99,99.000,493,787,903,854,944,999,1052,1185,1185
27,100,100.000,607,863,912,951,1053,1184,1215,1435,1435
28,101,101.000,283,512,1020,890,1121,1163,1229,1518,2767
29,99,99.000,592,864,927,925,985,1066,1164,1483,1483
30,101,101.000,566,868,917,917,966,1021,1042,1141,1947
31,99,99.000,549,854,902,883,963,1019,1071,1465,1465
32,100,100.000,547,841,890,876,943,1002,1085,1327,1327
33,101,101.000,395,766,888,845,949,1013,1040,1092,1101
34,99,99.000,654,875,917,931,981,1082,1127,1228,1228
35,101,101.000,392,796,883,908,966,1033,1171,3478,4120
36,100,100.000,273,477,853,796,916,1015,1137,6327,6327
37,100,100.000,246,370,497,600,868,948,970,1497,1497
38,100,100.000,256,400,479,623,750,992,1075,4440,4440
39,100,100.000,297,389,644,686,940,1031,1176,2642,2642
40,100,100.000,283,367,435,529,495,644,878,6358,6358
41,100,100.000,245,359,399,564,678,1049,1188,2446,2446
42,100,100.000,292,383,659,720,940,1018,1121,4399,4399
43,100,100.000,252,332,373,473,541,876,945,1845,1845
44,100,100.000,258,390,551,657,897,1016,1107,2856,2856
45,100,100.000,255,356,439,596,681,886,926,7653,7653
46,100,100.000,273,358,434,590,689,935,1021,4392,4392
47,100,100.000,246,365,464,639,773,988,1124,4966,4966
48,100,100.000,247,365,635,655,864,1015,1159,2429,2429
49,100,100.000,251,354,441,638,698,923,1025,7579,7579
50,99,99.000,282,377,621,843,944,1087,1318,12755,12755
51,101,101.000,268,363,439,1370,722,2792,7013,14811,20964
52,100,100.000,242,390,769,749,972,1095,1349,3142,3142
53,100,100.000,253,363,439,590,803,955,979,4509,4509
54,100,100.000,266,352,396,453,468,792,916,1064,1064
55,100,100.000,265,367,558,698,877,1037,1171,4923,4923
56,100,100.000,289,368,632,710,892,970,1045,3878,3878
57,99,99.000,266,385,526,709,876,1013,1166,5349,5349
58,101,101.000,242,334,395,516,537,777,892,1289,5652
59,100,100.000,250,363,588,825,889,1028,1141,8997,8997
