Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,13.600,0.742,0.245,0.390,0.505,0.774,1.085,1.439,6.052,6.052,1.347
5,13.200,0.743,0.322,0.402,0.610,0.797,0.884,0.965,5.517,5.517,1.346
10,14.800,0.673,0.308,0.405,0.537,0.786,0.873,0.956,6.079,6.079,1.485
15,13.600,0.669,0.248,0.399,0.515,0.808,0.902,1.158,5.899,5.899,1.496
20,14.000,0.648,0.310,0.418,0.551,0.779,0.850,0.928,4.736,4.736,1.543
25,13.600,0.986,0.278,0.390,0.477,0.796,0.905,1.799,12.477,12.477,1.014
30,14.200,0.569,0.290,0.381,0.458,0.698,0.849,1.014,2.288,2.288,1.757
35,15.400,1.447,0.267,0.365,0.417,0.633,0.892,1.298,56.317,56.317,0.691
40,16.400,0.615,0.254,0.359,0.494,0.812,0.881,0.904,2.948,2.948,1.626
45,17.000,2.759,0.333,0.735,0.814,1.074,1.260,1.424,62.626,62.626,0.362
50,16.000,0.951,0.613,0.742,0.835,1.217,1.272,1.299,2.022,2.022,1.051
55,13.800,1.174,0.638,0.738,0.835,1.182,1.389,1.986,11.260,11.260,0.852
