Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,12.600,0.701,0.207,0.380,0.569,0.976,1.182,1.259,2.626,2.626,1.427
5,15.600,0.714,0.200,0.405,0.740,0.967,1.087,1.228,1.405,1.405,1.401
10,13.800,0.787,0.244,0.508,0.803,0.924,1.058,1.093,4.520,4.520,1.270
15,16.600,0.864,0.213,0.564,0.816,0.978,1.166,1.392,5.123,5.123,1.158
20,16.000,0.693,0.262,0.419,0.506,0.839,1.127,1.346,4.058,4.058,1.443
25,16.400,0.680,0.245,0.402,0.719,0.827,0.933,1.016,3.654,3.654,1.471
30,13.600,1.111,0.250,0.412,0.766,0.965,1.413,1.517,21.070,21.070,0.900
35,15.600,1.767,0.233,0.395,0.671,0.846,1.037,1.466,40.015,40.015,0.566
40,14.600,0.837,0.527,0.785,0.806,0.851,0.903,0.921,2.374,2.374,1.195
45,14.000,0.729,0.296,0.729,0.807,0.849,0.875,0.890,1.089,1.089,1.372
50,17.000,1.035,0.336,0.765,0.808,0.891,1.026,1.904,10.025,10.025,0.967
55,16.800,2.034,0.190,0.576,0.767,0.856,0.993,1.942,41.186,41.186,0.492
