Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,14.800,0.823,0.395,0.742,0.847,0.920,1.010,1.055,1.544,1.544,1.215
5,16.400,0.788,0.306,0.613,0.818,0.891,0.988,1.220,3.292,3.292,1.268
10,15.400,0.762,0.290,0.552,0.793,0.902,1.057,1.117,2.061,2.061,1.312
15,15.600,0.865,0.482,0.751,0.850,0.914,0.988,1.067,3.545,3.545,1.156
20,15.000,0.906,0.396,0.745,0.871,0.991,1.043,1.187,4.173,4.173,1.103
25,15.800,0.845,0.428,0.813,0.858,0.900,0.942,0.972,1.052,1.052,1.183
30,14.200,0.903,0.562,0.768,0.837,0.891,0.948,0.996,6.763,6.763,1.108
35,14.600,0.852,0.523,0.798,0.850,0.916,0.987,1.016,1.149,1.149,1.173
40,16.200,0.522,0.264,0.378,0.432,0.558,0.825,0.973,1.571,1.571,1.914
45,12.800,0.700,0.309,0.404,0.602,0.869,0.914,0.927,4.770,4.770,1.429
50,14.200,0.633,0.248,0.366,0.491,0.842,0.894,1.016,3.999,3.999,1.580
55,17.000,0.578,0.244,0.365,0.493,0.777,0.887,0.927,2.559,2.559,1.731
