Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,13.000,0.746,0.224,0.444,0.750,0.833,0.989,1.877,3.191,3.191,1.340
5,14.600,0.602,0.220,0.354,0.423,0.517,0.989,1.222,5.854,5.854,1.662
10,15.000,0.517,0.253,0.360,0.410,0.726,0.849,0.959,1.267,1.267,1.934
15,15.200,0.695,0.259,0.375,0.527,0.813,0.991,1.449,6.128,6.128,1.438
20,18.000,1.562,0.236,0.367,0.473,0.916,2.405,4.526,46.859,46.859,0.640
25,15.400,1.655,0.229,0.367,0.478,0.823,1.802,4.736,45.049,45.049,0.604
30,15.400,0.746,0.287,0.391,0.447,0.735,1.280,1.791,9.037,9.037,1.341
35,11.600,3.100,0.255,0.397,0.530,0.736,1.071,24.979,74.572,74.572,0.323
40,15.000,0.491,0.278,0.361,0.445,0.522,0.754,0.884,1.198,1.198,2.037
45,13.600,0.525,0.249,0.354,0.416,0.465,0.568,0.880,6.042,6.042,1.904
50,17.600,0.923,0.275,0.366,0.416,0.777,0.937,1.611,27.307,27.307,1.084
55,15.000,0.853,0.681,0.763,0.803,0.872,1.017,1.222,1.707,1.707,1.173
