Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,15.800,0.746,0.254,0.410,0.657,0.962,1.178,1.295,4.141,4.141,1.340
5,14.200,0.911,0.267,0.433,0.722,0.960,1.234,1.424,12.293,12.293,1.098
10,14.400,0.751,0.282,0.404,0.764,0.882,0.963,1.127,5.130,5.130,1.331
15,17.800,0.789,0.307,0.416,0.715,1.007,1.292,1.518,2.798,2.798,1.267
20,15.800,0.710,0.273,0.400,0.535,0.894,1.218,1.444,3.222,3.222,1.409
25,11.800,0.664,0.233,0.385,0.699,0.855,0.943,1.116,1.429,1.429,1.507
30,15.200,0.694,0.231,0.415,0.578,0.885,1.114,1.285,2.490,2.490,1.441
35,16.400,1.107,0.239,0.456,0.771,0.839,0.970,1.530,27.842,27.842,0.903
40,15.800,0.870,0.503,0.788,0.830,0.865,0.914,0.976,3.969,3.969,1.150
45,15.800,1.307,0.258,0.737,0.823,0.864,0.925,1.438,34.709,34.709,0.765
50,13.000,0.817,0.316,0.763,0.818,0.899,1.059,1.122,1.201,1.201,1.224
55,16.800,1.658,0.178,0.467,0.755,0.853,1.085,6.523,33.154,33.154,0.603
